Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling,Team
Andrés Céspedes,2000043877.0,13.5,10.333333333333334,2.0,10.75,6.0,8.666666666666666,7.5,11.75,10.75,3.5,10.25,12.75,9.2,7.5,13.125,11.5,6.5,9.166666666666666,10.75,6.25,alaves
José Curras,67294881.0,15.0,12.166666666666666,6.0,10.5,11.75,13.333333333333334,10.125,13.5,10.5,11.0,12.5,12.5,12.4,11.333333333333334,13.625,13.833333333333334,8.75,10.666666666666666,11.0,10.5,alaves
Arnar Bragason,2000357424.0,12.0,10.666666666666666,10.0,12.0,10.75,12.0,10.125,10.5,12.0,9.25,13.25,14.0,10.4,12.666666666666666,13.5,12.333333333333334,10.5,11.0,14.5,14.5,alaves
Arnau Comas,67258409.0,15.0,12.166666666666666,14.0,12.75,11.0,10.0,10.75,11.75,12.75,8.5,12.25,13.75,11.0,12.833333333333334,13.75,11.666666666666666,9.0,12.0,14.5,13.25,alaves
Javi López,67293674.0,15.0,12.5,11.0,14.25,13.0,13.0,12.75,12.25,14.25,12.5,14.25,8.75,12.8,14.166666666666666,14.5,12.333333333333334,13.5,12.833333333333334,13.25,14.25,alaves
Lirim Kastrati,24058534.0,7.0,9.333333333333334,7.0,7.0,10.0,9.333333333333334,8.75,8.0,7.0,11.0,8.0,13.75,9.2,6.166666666666667,15.75,8.666666666666666,12.5,8.666666666666666,11.0,5.5,alaves
Schurrle,83223653.0,7.0,14.666666666666666,9.0,11.0,12.5,14.833333333333334,12.375,13.75,11.0,13.5,13.0,9.5,14.9,11.166666666666666,12.375,13.833333333333334,13.75,12.833333333333334,11.25,11.0,alaves
Ibrahim Sangaré,48042717.0,17.5,11.5,11.0,13.0,12.5,12.833333333333334,12.125,12.0,13.0,11.25,13.0,12.0,12.1,13.166666666666666,12.5,12.166666666666666,12.0,12.833333333333334,15.25,13.25,alaves
Asier Rodríguez,2000572954.0,6.0,10.166666666666666,8.0,7.5,15.0,11.5,11.625,11.5,7.5,16.0,9.25,11.375,11.4,7.5,13.75,10.333333333333334,9.5,11.0,8.5,6.75,alaves
0,2000068663.0,14.0,13.166666666666666,15.0,9.75,14.75,13.0,9.5,14.75,9.75,14.0,10.75,10.625,13.2,9.833333333333334,11.125,14.0,12.5,10.5,7.0,9.25,alaves
Xabier Garmendia,2000631378.0,16.0,14.666666666666666,12.0,11.25,15.5,15.166666666666666,11.125,15.5,11.25,14.5,12.0,12.625,14.7,10.333333333333334,15.625,15.666666666666666,14.75,12.833333333333334,14.75,7.25,alaves
Carlos Abad,67198215.0,14.5,11.0,1.5,12.5,8.25,9.0,10.25,12.5,12.5,6.75,11.25,12.0,10.0,9.0,9.25,11.666666666666666,6.75,13.0,10.5,6.25,alaves
David Martínez,14136117.0,12.0,14.0,12.0,15.0,12.5,11.833333333333334,12.75,12.75,15.0,11.5,14.25,12.0,12.5,14.666666666666666,13.375,13.5,11.5,14.166666666666666,12.75,14.0,alaves
Ander Imaz,2000439533.0,5.0,9.166666666666666,7.0,6.5,12.75,12.0,10.875,10.5,6.5,14.0,8.0,10.25,10.8,6.333333333333333,15.625,10.166666666666666,10.75,10.666666666666666,10.5,5.0,alaves
Rafa Mir,67221051.0,14.0,10.5,16.0,11.0,12.25,13.333333333333334,10.875,10.5,11.0,12.0,12.5,10.25,11.6,9.666666666666666,14.375,11.5,13.25,11.666666666666666,14.0,8.25,alaves
Samir Kacem,2000433838.0,13.0,12.666666666666666,11.0,10.5,13.0,11.666666666666666,10.5,13.25,10.5,9.5,11.0,14.875,11.4,11.333333333333334,14.125,14.166666666666666,7.5,11.666666666666666,14.75,12.0,alaves
Vyacheslav Karavaev,58076747.0,10.0,12.333333333333334,10.0,14.0,12.5,12.166666666666666,13.75,12.75,14.0,11.0,12.75,14.25,12.1,13.666666666666666,12.125,12.833333333333334,12.5,13.5,11.75,14.5,alaves
Joseph Ngwem,2000202611.0,10.5,13.666666666666666,12.0,9.75,11.0,11.166666666666666,11.5,13.25,9.75,12.5,9.75,12.75,12.1,7.166666666666667,15.125,13.5,13.0,11.833333333333334,14.75,9.25,alaves
Birger Meling,29126536.0,5.0,11.833333333333334,9.0,13.25,11.5,10.333333333333334,12.75,13.25,13.25,10.0,12.25,15.25,10.8,12.5,11.25,13.0,11.5,12.666666666666666,9.5,11.75,alaves
Adil Aouchiche,49048441.0,13.0,13.166666666666666,9.0,11.75,14.25,12.666666666666666,14.375,11.75,11.75,14.5,13.75,10.625,13.0,9.833333333333334,14.75,12.0,16.0,15.333333333333334,12.5,12.25,alaves
Alexander Sørloth,53063430.0,15.0,13.166666666666666,14.0,9.5,12.75,13.0,11.5,13.5,9.5,13.5,14.0,12.5,13.0,8.333333333333334,13.625,13.5,13.75,13.166666666666666,14.0,8.75,alaves
Luca Sangalli,67190076.0,4.5,12.5,3.5,12.0,13.25,11.5,12.25,13.5,12.0,11.75,11.25,15.75,12.4,11.833333333333334,10.75,12.333333333333334,12.0,12.833333333333334,12.5,11.5,alaves
Borja Sainz,67277845.0,8.0,11.166666666666666,11.0,12.5,14.25,12.333333333333334,14.0,11.25,12.5,13.0,10.75,12.625,12.0,11.333333333333334,13.5,11.0,13.0,13.666666666666666,10.75,11.75,alaves
Suleimane Rodrigues,2000190096.0,12.5,11.166666666666666,8.0,11.0,12.5,11.5,12.875,10.0,11.0,11.25,10.5,10.75,11.1,11.166666666666666,11.75,10.833333333333334,11.0,13.833333333333334,13.25,10.25,alaves
Stefan Ranđelović,62247042.0,13.5,15.666666666666666,2.5,13.25,9.0,8.666666666666666,9.75,14.25,13.25,6.0,12.25,13.625,12.0,9.5,10.875,13.833333333333334,8.25,11.5,11.25,8.25,alaves
Rubén Garrido,2000515088.0,11.5,14.5,8.5,10.75,12.5,12.0,12.875,14.75,10.75,11.0,12.75,11.0,13.3,8.333333333333334,12.875,14.166666666666666,14.0,13.666666666666666,13.75,12.5,alaves
Mauricio Morán,2000192669.0,12.0,9.833333333333334,2.0,12.0,5.0,8.333333333333334,7.5,11.75,12.0,3.5,9.25,13.125,8.8,8.833333333333334,13.0,11.333333333333334,5.25,9.0,14.5,6.0,albacete
Ángel Luis Arcas,2000571805.0,16.0,16.333333333333332,10.5,12.75,13.0,10.333333333333334,10.75,14.25,12.75,11.0,12.5,11.875,13.0,12.5,14.0,14.5,13.5,12.666666666666666,12.25,13.5,albacete
Juan Ángel Muñoz,2000512204.0,16.0,14.0,11.0,13.0,9.0,10.833333333333334,9.0,14.25,13.0,7.0,10.75,12.0,12.1,12.666666666666666,12.625,14.166666666666666,8.5,9.5,12.25,12.0,albacete
Ricardo Peralta,2000438819.0,18.0,13.0,11.0,10.5,7.75,10.666666666666666,6.875,16.25,10.5,8.5,11.0,13.25,11.7,10.333333333333334,11.125,15.0,8.25,8.0,10.0,11.5,albacete
Josep,2000513274.0,10.0,11.333333333333334,8.0,11.25,8.5,11.833333333333334,9.625,13.5,11.25,10.5,10.5,12.75,11.5,11.833333333333334,15.5,13.0,10.75,10.166666666666666,15.0,11.25,albacete
Ramiro Gabarri,2000198124.0,7.0,11.0,12.0,8.75,14.0,12.5,13.5,9.25,8.75,14.0,10.25,9.25,11.5,6.666666666666667,15.625,10.5,12.5,14.5,13.75,8.25,albacete
Gustavo Zamora,2000512210.0,10.5,12.333333333333334,10.0,8.75,15.75,13.166666666666666,10.375,11.0,8.75,13.5,10.5,8.875,12.9,7.333333333333333,15.25,11.333333333333334,13.75,12.5,11.75,8.25,albacete
Mamadou Coly,2000440193.0,11.0,9.5,5.0,7.0,11.0,11.5,11.5,8.5,7.0,12.5,8.5,10.75,10.2,7.666666666666667,14.75,9.666666666666666,9.5,11.0,11.5,7.25,albacete
Luis Nsambi,2000631649.0,16.0,15.833333333333334,7.0,9.0,15.0,12.833333333333334,11.25,16.25,9.0,15.25,10.5,9.625,15.1,8.333333333333334,13.0,14.333333333333334,13.75,13.5,10.0,10.5,albacete
Alberto,2000512206.0,12.0,12.833333333333334,9.0,10.25,14.0,12.666666666666666,13.5,10.75,10.25,15.0,11.5,10.625,12.7,8.833333333333334,13.375,11.5,13.5,14.0,11.75,9.75,albacete
Bright Adjei,2000660374.0,9.0,15.0,8.0,9.5,16.5,13.666666666666666,12.25,14.0,9.5,15.0,10.5,9.5,13.8,8.666666666666666,12.0,15.0,13.5,13.666666666666666,12.5,9.5,albacete
Guillermo Centurión,78095397.0,14.5,8.833333333333334,1.5,9.0,9.75,8.333333333333334,8.625,12.0,9.0,6.25,8.0,11.75,8.6,7.166666666666667,12.0,10.833333333333334,4.0,10.833333333333334,9.5,4.5,albacete
Kike Barja,67196202.0,7.0,13.666666666666666,8.0,10.5,14.0,13.833333333333334,12.875,13.75,10.5,14.5,12.0,10.25,14.1,8.833333333333334,12.375,13.166666666666666,12.75,12.833333333333334,10.25,10.0,albacete
Ezequiel Aranda,14246685.0,5.0,13.0,16.0,12.0,14.75,14.333333333333334,12.875,16.0,12.0,14.75,10.75,11.5,13.4,9.5,15.5,15.666666666666666,14.0,14.666666666666666,15.5,9.25,albacete
Álex Olmedo,2000034591.0,4.0,12.0,9.0,9.0,15.5,11.666666666666666,11.5,13.0,9.0,12.0,9.5,9.25,12.2,7.666666666666667,13.0,12.0,10.0,13.0,10.5,9.5,albacete
Raúl De Tomás,67156425.0,10.0,12.166666666666666,13.0,12.5,13.75,13.333333333333334,13.75,12.75,12.5,10.5,13.25,10.375,13.0,9.333333333333334,11.25,12.333333333333334,14.5,13.666666666666666,11.75,11.25,albacete
Sem Westerveld,37079077.0,16.0,4.333333333333333,0.0,10.0,4.0,6.333333333333333,6.25,10.0,10.0,2.5,10.5,11.75,5.2,6.666666666666667,8.25,8.666666666666666,6.0,8.333333333333334,7.0,4.5,albacete
Fali,67155014.0,13.0,13.5,14.0,11.75,12.0,10.0,10.5,13.25,11.75,8.5,12.25,16.0,11.6,12.5,8.0,13.0,10.5,10.833333333333334,9.25,12.25,albacete
Chema Nuñez,67232678.0,5.0,11.166666666666666,7.0,11.5,13.5,13.333333333333334,12.375,11.0,11.5,12.25,11.5,10.0,12.6,10.833333333333334,12.0,10.833333333333334,11.5,12.833333333333334,8.75,8.75,albacete
Antonio Sánchez,67272744.0,7.0,12.166666666666666,10.0,12.75,9.25,12.333333333333334,10.5,11.75,12.75,9.0,12.75,12.375,12.2,11.833333333333334,12.0,12.0,13.5,11.5,11.75,13.25,albacete
Fran Pérez,95078306.0,13.0,8.5,9.0,9.0,15.5,12.333333333333334,12.875,10.0,9.0,13.75,10.5,8.75,10.4,8.5,14.0,10.166666666666666,10.5,13.166666666666666,9.75,6.75,albacete
Diego Moreno,2000024303.0,7.0,12.0,9.0,11.5,9.5,10.5,11.0,11.25,11.5,10.5,10.25,11.5,10.7,11.666666666666666,14.125,12.166666666666666,11.5,10.166666666666666,12.25,11.5,albacete
