Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling,Team
Lirim Kastrati,24058534.0,7.0,9.333333333333334,7.0,7.0,10.0,9.333333333333334,8.75,8.0,7.0,11.0,8.0,13.75,9.2,6.166666666666667,15.75,8.666666666666666,12.5,8.666666666666666,11.0,5.5,alaves
Borja Sainz,67277845.0,8.0,11.166666666666666,11.0,12.5,14.25,12.333333333333334,14.0,11.25,12.5,13.0,10.75,12.625,12.0,11.333333333333334,13.5,11.0,13.0,13.666666666666666,10.75,11.75,alaves
Ángel Luis Arcas,2000571805.0,16.0,16.333333333333332,10.5,12.75,13.0,10.333333333333334,10.75,14.25,12.75,11.0,12.5,11.875,13.0,12.5,14.0,14.5,13.5,12.666666666666666,12.25,13.5,albacete
Mamadou Coly,2000440193.0,11.0,9.5,5.0,7.0,11.0,11.5,11.5,8.5,7.0,12.5,8.5,10.75,10.2,7.666666666666667,14.75,9.666666666666666,9.5,11.0,11.5,7.25,albacete
Kike Barja,67196202.0,7.0,13.666666666666666,8.0,10.5,14.0,13.833333333333334,12.875,13.75,10.5,14.5,12.0,10.25,14.1,8.833333333333334,12.375,13.166666666666666,12.75,12.833333333333334,10.25,10.0,albacete
Fran Pérez,95078306.0,13.0,8.5,9.0,9.0,15.5,12.333333333333334,12.875,10.0,9.0,13.75,10.5,8.75,10.4,8.5,14.0,10.166666666666666,10.5,13.166666666666666,9.75,6.75,albacete
Nikola Stanković,2000211075.0,13.5,12.5,9.5,11.25,14.5,12.666666666666666,15.125,12.25,11.25,15.0,12.75,11.75,12.5,9.666666666666666,17.25,12.5,14.5,16.0,14.25,12.5,amadrd
Thomas Lemar,85093001.0,6.0,13.666666666666666,6.0,12.0,17.0,14.0,16.25,13.0,12.0,16.0,13.5,12.25,14.0,10.333333333333334,14.0,13.0,14.0,16.333333333333332,10.0,10.5,amadrd
0,2000495264.0,15.0,10.0,11.0,8.5,14.0,11.0,12.25,10.5,8.5,14.0,9.0,11.75,10.6,6.666666666666667,17.25,10.333333333333334,9.5,11.666666666666666,15.0,7.0,amadrd
Alexander Villarreal,2000499325.0,8.0,12.166666666666666,6.0,8.0,14.0,13.0,12.375,14.0,8.0,13.75,8.5,11.75,13.0,8.166666666666666,15.75,12.833333333333334,11.5,13.166666666666666,14.25,7.25,amadrd
Diego Laínez,51063318.0,5.0,14.0,7.0,11.5,15.0,14.666666666666666,14.75,12.5,11.5,16.5,15.0,13.5,14.2,9.333333333333334,16.25,13.333333333333334,16.0,15.0,13.0,11.0,barc
Rodrygo,19306929.0,8.0,9.666666666666666,11.0,10.0,16.75,14.0,14.375,12.5,10.0,16.25,13.25,11.0,12.0,8.5,15.25,12.0,13.5,15.0,14.5,9.25,barc
Dejan Kulusevski,43295814.0,13.0,16.0,9.0,13.0,16.5,16.333333333333332,16.0,14.5,13.0,16.5,14.5,14.0,16.0,11.333333333333334,15.5,15.333333333333334,15.0,16.333333333333332,15.0,12.0,barc
