Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling,Team
Javi López,67293674.0,15.0,12.5,11.0,14.25,13.0,13.0,12.75,12.25,14.25,12.5,14.25,8.75,12.8,14.166666666666666,14.5,12.333333333333334,13.5,12.833333333333334,13.25,14.25,alaves
Lirim Kastrati,24058534.0,7.0,9.333333333333334,7.0,7.0,10.0,9.333333333333334,8.75,8.0,7.0,11.0,8.0,13.75,9.2,6.166666666666667,15.75,8.666666666666666,12.5,8.666666666666666,11.0,5.5,alaves
Asier Rodríguez,2000572954.0,6.0,10.166666666666666,8.0,7.5,15.0,11.5,11.625,11.5,7.5,16.0,9.25,11.375,11.4,7.5,13.75,10.333333333333334,9.5,11.0,8.5,6.75,alaves
Ander Imaz,2000439533.0,5.0,9.166666666666666,7.0,6.5,12.75,12.0,10.875,10.5,6.5,14.0,8.0,10.25,10.8,6.333333333333333,15.625,10.166666666666666,10.75,10.666666666666666,10.5,5.0,alaves
Birger Meling,29126536.0,5.0,11.833333333333334,9.0,13.25,11.5,10.333333333333334,12.75,13.25,13.25,10.0,12.25,15.25,10.8,12.5,11.25,13.0,11.5,12.666666666666666,9.5,11.75,alaves
Borja Sainz,67277845.0,8.0,11.166666666666666,11.0,12.5,14.25,12.333333333333334,14.0,11.25,12.5,13.0,10.75,12.625,12.0,11.333333333333334,13.5,11.0,13.0,13.666666666666666,10.75,11.75,alaves
Rubén Garrido,2000515088.0,11.5,14.5,8.5,10.75,12.5,12.0,12.875,14.75,10.75,11.0,12.75,11.0,13.3,8.333333333333334,12.875,14.166666666666666,14.0,13.666666666666666,13.75,12.5,alaves
Ramiro Gabarri,2000198124.0,7.0,11.0,12.0,8.75,14.0,12.5,13.5,9.25,8.75,14.0,10.25,9.25,11.5,6.666666666666667,15.625,10.5,12.5,14.5,13.75,8.25,albacete
Alberto,2000512206.0,12.0,12.833333333333334,9.0,10.25,14.0,12.666666666666666,13.5,10.75,10.25,15.0,11.5,10.625,12.7,8.833333333333334,13.375,11.5,13.5,14.0,11.75,9.75,albacete
Kike Barja,67196202.0,7.0,13.666666666666666,8.0,10.5,14.0,13.833333333333334,12.875,13.75,10.5,14.5,12.0,10.25,14.1,8.833333333333334,12.375,13.166666666666666,12.75,12.833333333333334,10.25,10.0,albacete
