Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling,Team
José Curras,67294881.0,15.0,12.166666666666666,6.0,10.5,11.75,13.333333333333334,10.125,13.5,10.5,11.0,12.5,12.5,12.4,11.333333333333334,13.625,13.833333333333334,8.75,10.666666666666666,11.0,10.5,alaves
Vyacheslav Karavaev,58076747.0,10.0,12.333333333333334,10.0,14.0,12.5,12.166666666666666,13.75,12.75,14.0,11.0,12.75,14.25,12.1,13.666666666666666,12.125,12.833333333333334,12.5,13.5,11.75,14.5,alaves
Ángel Luis Arcas,2000571805.0,16.0,16.333333333333332,10.5,12.75,13.0,10.333333333333334,10.75,14.25,12.75,11.0,12.5,11.875,13.0,12.5,14.0,14.5,13.5,12.666666666666666,12.25,13.5,albacete
Junior Esparragoza,2000179937.0,13.0,11.833333333333334,9.0,11.5,6.75,12.666666666666666,7.125,12.0,11.5,7.0,12.0,12.5,11.6,12.333333333333334,12.625,13.166666666666666,8.75,8.0,13.0,10.5,albacete
Marc Jurado,2000032704.0,10.0,12.0,9.0,13.0,14.5,13.666666666666666,13.25,12.5,13.0,14.0,13.5,11.25,12.4,12.666666666666666,16.0,13.333333333333334,12.5,14.0,13.5,12.5,amadrd
Tomás Esteves,83228786.0,15.0,13.333333333333334,9.0,14.5,13.5,13.333333333333334,13.375,13.5,14.5,13.5,15.0,11.25,13.4,14.0,15.75,13.333333333333334,15.75,14.0,13.5,13.5,barc
Asier Grande,2000048078.0,7.0,13.0,10.0,12.5,11.75,13.666666666666666,11.625,13.75,12.5,12.25,13.0,12.75,13.2,11.666666666666666,15.25,13.833333333333334,10.0,12.5,12.0,13.0,bilbao
Luka Jovanović,2000604683.0,7.0,10.333333333333334,8.0,9.0,12.0,11.333333333333334,13.5,9.5,9.0,14.0,10.5,9.25,10.8,8.0,15.0,10.0,10.5,13.0,11.0,9.0,cadiz
Nico Mickelson,53138009.0,11.0,12.666666666666666,6.0,9.0,14.25,11.5,11.375,12.5,9.0,13.75,10.5,8.875,12.1,9.0,14.25,12.333333333333334,10.0,11.166666666666666,9.5,8.5,cadiz
Carlos Fernando,2000194985.0,10.0,13.666666666666666,10.0,11.75,11.75,12.5,10.375,15.75,11.75,11.5,13.0,11.375,13.1,12.166666666666666,13.25,14.833333333333334,8.75,10.833333333333334,11.5,9.25,coruna
