Player,UID,Position
Gautier Larsonneur,85133818,GK
Enrico Brancadori,2000436507,D (C)
Rubén Iranzo,2000032467,D (LC)
Urko González de Zárate,2000058330,"D (C), DM, M (C)"
0,28100123,D/WB (R)
José Gayà,67178177,D/WB/M (L)
Orkun Kökçü,37061602,"DM, M/AM (C)"
Damián Ribera,2000193186,"M (C), AM (LC)"
Sérgio Mané,2000507867,M/AM (LC)
Bartol Barišić,24065111,ST (C)
Gabriel Jesus,19220266,"AM (RLC), ST (C)"
Predrag Rajković,62076152,GK
Ivo Gujinović,2000565341,D (RL)
Morten Thorsby,53098756,"WB (R), DM, M (RC), AM (R)"
Joaquín Salgado,2000272916,ST (C)
Aron Ehlers,2000194937,M/AM (R)
Sheldon Peltier,2000187635,"D (RL), WB (L)"
Mouctar Diakhaby,48036643,"D (C), DM"
Malcom,19229435,"M (RL), AM (RLC)"
Nicolas Cozza,49037761,D (LC)
Rodri,67217524,"DM, M (C)"
Nico Serrano,67295206,"M (RL), AM (RLC), ST (C)"
Cristhian Mosquera,2000030816,D (RC)
Hugo Montañana,2000034349,"D (LC), WB/M/AM (L)"
Georges Teixeira,2000187375,"D (C), DM"
Luís Pereira,2000188430,D (R)
Adrian,2000193185,"AM (LC), ST (C)"
Josema,2000439264,"D (RC), WB (R), DM, M (RC)"
