Player,UID,WM,W,DW,IW,IF,WG
Gautier Larsonneur,85133818.0,12.6,13.95,12.85,15.9,14.4,13.29
Enrico Brancadori,2000436507.0,12.7,13.6,14.2,13.7,13.0,14.25
Rubén Iranzo,2000032467.0,16.55,18.45,17.75,17.65,17.15,17.88
Urko González de Zárate,2000058330.0,11.1,10.6,12.3,11.5,10.7,11.25
0,28100123.0,14.5,15.15,14.35,12.4,12.25,14.46
José Gayà,67178177.0,14.9,14.2,14.3,14.9,14.3,12.75
Orkun Kökçü,37061602.0,13.1,13.5,11.4,14.1,13.6,12.5
Damián Ribera,2000193186.0,15.95,14.8,14.3,17.2,16.8,13.67
Sérgio Mané,2000507867.0,13.0,13.0,11.3,14.8,14.0,12.5
Bartol Barišić,24065111.0,11.9,12.4,10.3,13.8,14.2,12.83
Gabriel Jesus,19220266.0,13.3,14.2,11.8,14.7,14.8,13.67
Predrag Rajković,62076152.0,12.5,12.3,13.7,14.3,13.85,12.17
Ivo Gujinović,2000565341.0,17.6,19.1,18.35,18.1,17.45,17.67
Morten Thorsby,53098756.0,17.25,18.95,19.1,16.05,16.5,19.17
Joaquín Salgado,2000272916.0,12.3,14.1,9.6,13.5,14.1,13.33
Aron Ehlers,2000194937.0,17.8,18.55,16.05,18.9,18.1,16.96
Sheldon Peltier,2000187635.0,17.25,18.15,15.7,19.3,17.8,17.29
Mouctar Diakhaby,48036643.0,15.85,16.2,17.15,16.95,16.45,16.08
Malcom,19229435.0,12.3,14.1,10.15,14.3,13.8,13.0
Nicolas Cozza,49037761.0,12.6,12.7,13.4,12.9,12.4,12.5
Rodri,67217524.0,13.1,12.1,13.5,13.8,13.0,12.33
Nico Serrano,67295206.0,16.95,17.35,13.45,18.65,18.2,16.46
Cristhian Mosquera,2000030816.0,14.7,15.3,16.05,15.6,14.8,15.0
Hugo Montañana,2000034349.0,17.45,18.0,16.0,19.2,18.4,17.0
Georges Teixeira,2000187375.0,16.45,15.9,16.95,17.0,16.0,15.75
Luís Pereira,2000188430.0,17.2,18.0,19.1,18.6,17.95,16.42
Adrian,2000193185.0,19.35,19.95,16.15,20.9,21.1,17.88
Josema,2000439264.0,11.7,11.2,12.8,10.5,10.4,11.25
