Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Gautier Larsonneur,85133818.0,1057.5,1202.0,1361.0,1186.0,1343.0,1211.5,1421.0,1376.5,1395.0,1533.5
Enrico Brancadori,2000436507.0,993.0,1239.0,1515.0,1186.0,1375.0,1193.0,1386.0,1345.0,1348.0,1601.0
Rubén Iranzo,2000032467.0,1263.0,1537.5,1760.5,1496.5,1694.5,1531.0,1744.5,1732.0,1725.0,1987.0
Urko González de Zárate,2000058330.0,812.0,1042.0,1272.0,994.0,1162.0,987.0,1173.0,1116.0,1124.0,1275.0
0,28100123.0,910.5,1141.0,1315.0,1113.0,1244.5,1133.0,1254.5,1278.0,1213.5,1420.0
José Gayà,67178177.0,915.0,1142.0,1295.0,1132.0,1313.0,1180.0,1367.0,1312.0,1315.0,1452.0
Orkun Kökçü,37061602.0,828.0,1030.0,1113.0,1041.0,1157.0,1109.0,1255.0,1249.0,1245.0,1416.0
Damián Ribera,2000193186.0,1148.0,1316.0,1498.5,1276.5,1489.5,1343.5,1566.5,1488.5,1518.5,1694.0
Sérgio Mané,2000507867.0,854.0,1059.0,1203.0,1053.0,1215.0,1112.0,1307.0,1246.0,1282.0,1441.0
Bartol Barišić,24065111.0,827.0,1010.0,1164.0,998.0,1121.0,1056.0,1205.0,1187.0,1199.0,1507.0
Gabriel Jesus,19220266.0,862.0,1072.0,1194.0,1073.0,1212.0,1145.0,1313.0,1285.0,1299.0,1533.0
Predrag Rajković,62076152.0,1114.0,1225.0,1458.0,1171.0,1375.5,1179.0,1412.5,1320.5,1364.0,1594.5
Ivo Gujinović,2000565341.0,1358.0,1552.0,1775.5,1496.5,1722.5,1519.5,1744.5,1716.5,1702.0,1884.0
Morten Thorsby,53098756.0,1182.5,1477.0,1764.0,1433.5,1596.5,1456.5,1666.0,1640.5,1612.0,1958.0
Joaquín Salgado,2000272916.0,772.0,987.0,1075.0,1013.0,1095.0,1085.0,1206.0,1249.0,1232.0,1503.0
Aron Ehlers,2000194937.0,1140.5,1371.5,1536.0,1370.5,1557.5,1449.5,1670.0,1605.5,1628.0,1795.5
Sheldon Peltier,2000187635.0,1271.0,1513.0,1688.0,1501.0,1656.5,1550.5,1765.5,1766.0,1754.0,1970.0
Mouctar Diakhaby,48036643.0,1263.0,1460.5,1723.5,1400.5,1610.0,1402.0,1653.0,1575.0,1586.0,1823.0
Malcom,19229435.0,813.0,1007.5,1087.0,1032.0,1138.5,1121.5,1247.5,1266.5,1262.5,1446.5
Nicolas Cozza,49037761.0,878.0,1095.0,1296.0,1065.0,1224.0,1082.0,1256.0,1212.0,1213.0,1414.0
Rodri,67217524.0,870.0,1097.0,1321.0,1058.0,1258.0,1079.0,1294.0,1201.0,1234.0,1421.0
Nico Serrano,67295206.0,998.0,1287.0,1446.5,1292.0,1517.5,1422.0,1621.0,1577.0,1604.0,1852.0
Cristhian Mosquera,2000030816.0,1199.0,1406.5,1632.0,1354.0,1542.0,1351.5,1583.0,1527.5,1537.0,1732.5
Hugo Montañana,2000034349.0,1205.0,1468.5,1651.0,1455.5,1640.0,1531.5,1743.5,1730.0,1714.0,1890.5
Georges Teixeira,2000187375.0,1215.0,1443.5,1661.5,1390.0,1586.0,1405.5,1658.5,1575.0,1583.0,1770.0
Luís Pereira,2000188430.0,1295.0,1535.0,1747.5,1495.0,1730.5,1520.0,1759.0,1699.0,1701.5,1887.0
Adrian,2000193185.0,1206.0,1436.0,1573.0,1439.5,1642.5,1538.0,1791.0,1718.0,1750.0,1978.5
Josema,2000439264.0,877.0,1029.0,1246.0,972.0,1136.0,971.0,1138.0,1089.0,1075.0,1252.0
