Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Gautier Larsonneur,85133818.0,17.4,14.25,14.35,16.0,17.5,14.7,15.85,15.9
Enrico Brancadori,2000436507.0,14.9,13.8,14.2,13.7,14.3,13.7,14.5,14.4
Rubén Iranzo,2000032467.0,17.95,17.4,17.45,17.45,17.8,17.45,18.0,18.25
Urko González de Zárate,2000058330.0,11.3,11.6,12.1,12.1,12.5,11.0,11.5,13.0
0,28100123.0,11.95,12.45,14.9,13.15,12.45,12.85,12.4,13.9
José Gayà,67178177.0,15.0,15.1,13.5,15.2,15.0,15.5,15.1,14.8
Orkun Kökçü,37061602.0,13.4,13.3,11.5,13.3,13.4,14.3,14.4,12.3
Damián Ribera,2000193186.0,17.6,16.5,13.15,17.45,17.35,18.5,18.5,16.6
Sérgio Mané,2000507867.0,14.3,14.1,11.0,13.9,14.3,14.6,15.5,12.9
Bartol Barišić,24065111.0,13.2,12.9,11.6,13.4,12.9,13.7,13.8,12.1
Gabriel Jesus,19220266.0,14.1,13.6,12.2,14.1,13.9,14.5,14.8,12.9
Predrag Rajković,62076152.0,15.95,14.05,17.2,15.4,16.35,13.8,14.65,16.1
Ivo Gujinović,2000565341.0,18.35,16.4,19.05,19.2,19.05,16.75,18.3,19.8
Morten Thorsby,53098756.0,17.25,15.3,19.35,18.5,18.0,15.55,14.95,18.4
Joaquín Salgado,2000272916.0,11.8,11.4,9.8,13.1,12.5,13.0,13.4,11.2
Aron Ehlers,2000194937.0,20.15,18.7,15.3,19.05,19.1,19.4,19.35,17.05
Sheldon Peltier,2000187635.0,19.1,18.7,17.5,18.75,18.85,19.25,20.0,17.4
Mouctar Diakhaby,48036643.0,17.8,15.65,19.45,17.35,17.85,15.25,16.4,18.6
Malcom,19229435.0,13.4,13.8,9.6,13.0,13.0,15.0,15.3,11.1
Nicolas Cozza,49037761.0,13.5,13.1,13.2,13.4,13.5,13.1,13.2,13.6
Rodri,67217524.0,14.6,13.6,13.2,14.3,14.5,13.6,13.7,14.6
Nico Serrano,67295206.0,17.2,16.6,12.4,16.35,16.3,19.6,20.8,14.6
Cristhian Mosquera,2000030816.0,16.3,14.75,16.95,15.7,16.35,14.35,15.35,17.45
Hugo Montañana,2000034349.0,18.25,18.2,15.95,18.4,18.6,18.85,19.25,17.35
Georges Teixeira,2000187375.0,16.5,16.25,18.45,17.45,18.0,15.85,16.05,18.4
Luís Pereira,2000188430.0,19.2,18.55,19.95,19.05,19.4,17.95,18.65,19.7
Adrian,2000193185.0,19.35,18.2,16.9,20.6,20.25,19.75,21.15,17.85
Josema,2000439264.0,11.2,10.2,13.6,12.0,11.9,10.4,10.8,13.2
