Player,UID,FB,WB,IWB,CWB,NNFB
Gautier Larsonneur,85133818.0,14.35,10.7,14.4,12.19,12.85
Enrico Brancadori,2000436507.0,15.3,14.1,14.9,13.85,14.6
Rubén Iranzo,2000032467.0,19.25,17.6,18.1,16.81,17.3
Urko González de Zárate,2000058330.0,13.3,12.0,13.1,11.85,12.5
0,28100123.0,14.6,14.8,13.05,14.08,14.6
José Gayà,67178177.0,14.0,14.0,14.3,14.46,13.2
Orkun Kökçü,37061602.0,11.3,11.4,11.7,12.23,10.7
Damián Ribera,2000193186.0,14.5,13.1,14.7,14.08,12.4
Sérgio Mané,2000507867.0,11.4,11.4,12.5,12.38,10.5
Bartol Barišić,24065111.0,10.8,10.1,11.0,11.0,10.8
Gabriel Jesus,19220266.0,12.2,12.0,12.3,12.85,11.5
Predrag Rajković,62076152.0,14.85,11.25,14.95,11.77,15.85
Ivo Gujinović,2000565341.0,20.4,17.35,17.35,16.08,17.9
Morten Thorsby,53098756.0,20.2,18.2,17.2,17.0,18.5
Joaquín Salgado,2000272916.0,11.0,11.3,9.8,11.62,8.7
Aron Ehlers,2000194937.0,15.3,15.4,15.45,16.42,14.1
Sheldon Peltier,2000187635.0,17.0,16.35,16.55,17.15,16.7
Mouctar Diakhaby,48036643.0,18.2,15.35,17.55,15.46,19.15
Malcom,19229435.0,10.35,11.15,10.75,12.12,8.95
Nicolas Cozza,49037761.0,13.6,12.7,13.5,12.69,13.1
Rodri,67217524.0,13.8,12.3,14.2,12.77,12.9
Nico Serrano,67295206.0,13.35,14.2,13.95,15.12,11.65
Cristhian Mosquera,2000030816.0,17.4,14.4,16.6,14.15,16.7
Hugo Montañana,2000034349.0,16.6,16.75,16.55,17.58,15.9
Georges Teixeira,2000187375.0,17.55,15.5,17.6,15.77,18.25
Luís Pereira,2000188430.0,19.55,17.45,19.2,17.31,19.9
Adrian,2000193185.0,16.0,16.35,16.05,17.46,15.7
Josema,2000439264.0,13.5,11.4,12.1,11.0,13.1
