Player,UID,DM,AM,BWM,HB,SV,RGA
Gautier Larsonneur,85133818.0,14.4,14.4,14.4,14.35,14.6,15.5
Enrico Brancadori,2000436507.0,15.1,14.8,14.8,14.2,14.8,14.2
Rubén Iranzo,2000032467.0,18.25,17.8,17.8,17.45,17.9,17.5
Urko González de Zárate,2000058330.0,12.8,12.2,12.2,12.1,12.5,11.6
0,28100123.0,14.1,14.3,14.3,14.9,13.5,12.45
José Gayà,67178177.0,13.8,13.7,13.7,13.5,14.4,15.0
Orkun Kökçü,37061602.0,11.1,11.2,11.2,11.5,11.6,13.2
Damián Ribera,2000193186.0,15.05,14.3,14.3,13.15,15.1,17.0
Sérgio Mané,2000507867.0,11.4,10.9,10.9,11.0,12.0,14.4
Bartol Barišić,24065111.0,11.2,11.0,11.0,11.6,11.5,13.4
Gabriel Jesus,19220266.0,11.7,11.8,11.8,12.2,12.4,14.2
Predrag Rajković,62076152.0,15.7,16.2,16.2,17.2,15.05,14.45
Ivo Gujinović,2000565341.0,20.3,20.05,20.05,19.05,17.4,16.75
Morten Thorsby,53098756.0,19.25,20.5,20.5,19.35,18.15,14.9
Joaquín Salgado,2000272916.0,10.1,10.3,10.3,9.8,10.4,11.9
Aron Ehlers,2000194937.0,15.9,15.65,15.65,15.3,15.4,19.0
Sheldon Peltier,2000187635.0,16.7,16.35,16.35,17.5,16.1,18.35
Mouctar Diakhaby,48036643.0,18.75,18.3,18.3,19.45,17.95,16.35
Malcom,19229435.0,9.65,9.45,9.45,9.6,10.45,14.2
Nicolas Cozza,49037761.0,13.6,13.7,13.7,13.2,13.6,13.1
Rodri,67217524.0,13.9,13.9,13.9,13.2,14.4,14.0
Nico Serrano,67295206.0,13.45,13.25,13.25,12.4,13.65,17.15
Cristhian Mosquera,2000030816.0,17.65,17.05,17.05,16.95,16.7,15.15
Hugo Montañana,2000034349.0,15.95,14.75,14.75,15.95,16.2,18.3
Georges Teixeira,2000187375.0,17.75,17.0,17.0,18.45,17.35,15.95
Luís Pereira,2000188430.0,19.65,19.05,19.05,19.95,19.15,18.5
Adrian,2000193185.0,16.35,16.35,16.35,16.9,16.1,18.65
Josema,2000439264.0,13.7,14.2,14.2,13.6,12.5,10.0
