Player,UID,DM,AM,BWM,HB,SV,RGA
Gaizka Casado,2000629746,10.6,10.7,10.7,9.8,11.5,12.9
Diego Le Coz,2000566166,9.7,9.3,9.3,11.2,10.7,12.7
Pablo Pérez,2000511072,6.8,7.3,7.3,8.4,7.5,9.3
Cédric Basile,2000506654,12.2,12.0,12.0,11.6,11.6,11.3
Michele Faraone,2000439673,8.8,8.6,8.6,9.5,9.2,10.3
Roberto Aizpurua,2000439253,8.7,8.8,8.8,9.1,8.6,9.2
Pavel Sedlacek,2000567549,7.6,7.3,7.3,7.7,8.0,9.8
Adriano Ferazzoli,2000506119,9.4,9.2,9.2,8.7,9.8,11.4
Jason Faltermeier,2000435779,11.0,11.1,11.1,12.1,11.1,12.4
Nacer Brahimi,2000199524,11.7,11.4,11.4,12.2,11.1,9.6
Moussa Aboua,2000188777,9.3,9.8,9.8,9.7,8.9,11.2
Álejandro Gándara,2000737996,7.7,8.1,8.1,8.1,8.3,9.3
Vladimir Weber,2000709956,11.7,11.2,11.2,11.0,11.0,11.0
Lukas Majernik,2000709581,8.8,8.1,8.1,8.9,9.8,12.5
José Ángel Mansilla,2000631647,12.1,11.4,11.4,12.1,11.9,10.5
Frédéric Pelletier,2000573450,7.8,7.5,7.5,7.4,8.5,10.8
Pepe Martí,2000509918,11.6,11.8,11.8,11.0,10.7,10.3
Sebastian Stefansen,2000506681,7.2,6.7,6.7,7.0,7.3,9.0
Jonay,2000570836,12.3,12.0,12.0,12.7,11.8,11.4
Erik Kurdov,2000566868,12.5,12.5,12.5,12.6,11.1,8.1
Hervé Alves,2000566859,8.7,8.3,8.3,8.6,9.3,10.4
Cédric Picard,2000566055,11.7,11.6,11.6,12.2,10.6,8.4
Diego Sarriegi,2000439257,8.1,7.7,7.7,8.0,8.0,10.0
Juraj Horvath,2000189395,8.5,8.2,8.2,8.7,9.2,11.1
William Christoffersen,2000659946,8.2,7.7,7.7,9.0,8.3,8.3
Evangelos Alexopoulos,2000658599,7.4,7.4,7.4,8.3,8.3,8.9
Asgeir Granås,2000657174,10.8,10.4,10.4,11.1,10.4,9.0
Aitor Morcillo,2000631374,12.1,12.7,12.7,12.1,11.1,10.0
Juan Manuel,2000629223,8.5,8.3,8.3,9.5,8.3,7.9
Ruymán,2000442664,10.4,10.5,10.5,10.3,10.2,10.5
Iñaki Vélez,2000439250,11.7,11.8,11.8,12.1,10.7,8.5
Ramazan Cengiz,2000435409,7.1,6.9,6.9,7.7,8.0,10.0
Héctor Otiniano,2000647504,12.1,12.6,12.6,11.5,10.7,11.0
Jorge,2000571911,12.3,12.3,12.3,12.3,12.2,10.6
Armando D'Amato,2000567834,12.0,12.0,12.0,12.4,11.2,10.2
Cláudio Mendes,2000565719,10.0,9.9,9.9,10.8,9.4,8.8
Emanuel Busnja,2000567525,7.0,6.2,6.2,7.2,6.7,7.7
Mikel Oyarzun,2000439254,11.7,11.6,11.6,12.0,10.2,8.9
