Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling
Gaizka Casado,2000629746,8.0,13.666666666666666,15.0,11.0,15.5,13.0,12.0,12.5,11.0,13.0,11.5,9.0,13.4,10.0,11.75,12.666666666666666,12.5,13.666666666666666,11.5,10.0
Diego Le Coz,2000566166,7.0,11.333333333333334,7.0,11.5,14.5,13.666666666666666,13.25,11.0,11.5,14.0,11.0,12.75,12.4,9.666666666666666,11.5,11.666666666666666,12.5,14.333333333333334,11.0,10.5
Pablo Pérez,2000511072,9.0,9.666666666666666,7.0,8.0,14.0,9.666666666666666,11.0,11.5,8.0,12.0,8.0,13.0,10.2,6.333333333333333,13.25,10.0,12.5,12.333333333333334,10.0,7.5
Cédric Basile,2000506654,13.0,12.666666666666666,8.0,13.5,10.5,11.333333333333334,10.0,14.0,13.5,10.0,12.0,11.25,12.0,12.333333333333334,11.5,13.333333333333334,11.5,11.333333333333334,11.0,12.0
Michele Faraone,2000439673,9.0,11.333333333333334,7.0,9.0,11.5,11.666666666666666,11.0,12.0,9.0,11.5,9.0,9.75,11.6,7.333333333333333,13.25,11.666666666666666,12.0,12.333333333333334,10.0,9.5
Roberto Aizpurua,2000439253,12.0,9.666666666666666,10.0,10.0,9.0,9.0,11.0,11.5,10.0,9.5,9.5,10.5,9.6,8.333333333333334,13.5,10.333333333333334,13.0,11.666666666666666,13.0,9.0
Pavel Sedlacek,2000567549,12.0,8.333333333333334,12.0,7.5,12.5,10.666666666666666,9.75,8.5,7.5,10.5,9.5,8.5,9.8,6.0,12.75,8.333333333333334,12.5,11.333333333333334,10.0,7.5
Adriano Ferazzoli,2000506119,6.0,10.666666666666666,9.0,9.5,14.0,11.333333333333334,11.25,13.0,9.5,10.5,9.0,9.5,11.6,8.0,13.0,11.333333333333334,12.5,12.666666666666666,13.5,8.0
Jason Faltermeier,2000435779,13.0,14.666666666666666,9.0,10.5,15.0,12.666666666666666,10.75,14.5,10.5,12.5,10.0,11.75,13.6,8.333333333333334,13.5,14.333333333333334,11.0,13.333333333333334,14.5,10.0
Nacer Brahimi,2000199524,16.0,10.333333333333334,7.0,12.0,9.5,10.333333333333334,9.25,10.5,12.0,8.5,12.0,13.75,9.6,12.0,10.25,11.666666666666666,9.5,10.0,13.0,12.0
Moussa Aboua,2000188777,10.0,13.666666666666666,7.0,8.0,15.0,12.666666666666666,11.75,13.5,8.0,13.0,9.0,10.5,13.4,6.333333333333333,12.75,13.0,11.5,13.0,11.5,8.5
Álejandro Gándara,2000737996,2.0,10.0,7.0,7.0,11.5,10.0,9.75,12.0,7.0,12.0,8.5,10.5,10.2,6.0,13.5,11.0,12.0,10.666666666666666,8.5,6.5
Vladimir Weber,2000709956,16.0,11.0,9.0,10.5,10.5,11.333333333333334,9.5,13.5,10.5,10.0,10.5,12.0,11.4,11.0,12.5,12.333333333333334,11.5,11.333333333333334,12.5,10.0
Lukas Majernik,2000709581,6.0,11.0,12.0,9.0,12.0,13.666666666666666,11.5,11.5,9.0,12.5,10.0,11.75,12.6,7.666666666666667,15.0,11.333333333333334,12.5,12.333333333333334,11.0,8.5
José Ángel Mansilla,2000631647,7.0,10.0,9.0,10.5,10.5,12.0,10.0,11.5,10.5,8.5,11.5,11.75,10.6,11.0,12.5,12.0,8.5,10.666666666666666,12.0,13.0
Frédéric Pelletier,2000573450,8.0,10.0,4.0,6.5,13.0,12.333333333333334,12.0,11.5,6.5,12.5,9.0,8.75,11.4,7.0,13.75,11.0,12.0,12.333333333333334,9.5,8.0
Pepe Martí,2000509918,17.0,13.0,11.0,10.0,8.5,10.333333333333334,10.0,13.0,10.0,10.0,11.0,10.25,11.8,10.666666666666666,10.5,12.333333333333334,10.0,11.333333333333334,11.0,11.5
Sebastian Stefansen,2000506681,15.0,7.666666666666667,6.0,6.0,12.0,11.666666666666666,9.75,9.5,6.0,12.0,7.5,9.5,9.8,5.666666666666667,13.5,9.333333333333334,11.0,11.0,10.5,6.0
Jonay,2000570836,12.0,11.0,9.0,12.0,11.5,12.666666666666666,10.0,12.5,12.0,9.0,11.0,12.0,11.0,11.0,10.75,13.666666666666666,9.5,11.333333333333334,11.0,12.0
Erik Kurdov,2000566868,14.0,9.333333333333334,8.0,10.5,6.0,9.0,6.75,12.0,10.5,5.5,11.5,14.0,9.2,11.0,10.5,11.0,7.0,7.333333333333333,12.0,11.0
