Player,UID,FB,WB,IWB,CWB,NNFB
Lluís,2000443359.0,9.0,6.2,7.7,6.85,8.9
Pablo López,2000612702.0,11.4,10.8,9.9,10.92,10.7
Yeray Ortega,2000199817.0,13.2,10.7,12.7,10.31,12.8
Yanis Mohamed,2000710637.0,12.8,11.1,12.2,11.08,13.2
Mikel Santamaría,2000201716.0,12.5,12.0,11.8,11.77,12.4
Eduardo Bautista,2000207175.0,9.3,10.4,8.1,10.54,8.1
Jon Magunazelaia,2000082492.0,9.5,10.2,10.1,11.08,8.6
Sullivan Mayele,2000506525.0,11.9,10.4,13.0,11.23,12.3
Miguel Rodríguez,2000192674.0,8.75,9.65,8.95,10.88,8.35
Giancarlo Perea,2000512704.0,7.6,8.3,8.7,9.77,8.2
Javi Cueto,67279676.0,9.8,11.0,9.5,11.69,8.7
Adrián Ortolà,67115824.0,7.4,3.7,7.9,5.92,7.9
Andrés Romero,2000193995.0,11.35,8.4,10.1,8.23,12.25
Ibrahima Kébé,2000024313.0,13.4,11.4,12.3,11.08,12.5
Morris Pietranera,2000568425.0,8.9,8.8,9.7,10.15,9.4
Diego Mercado,14160026.0,11.1,10.5,11.4,10.69,11.8
Jordi Busquets,2000574550.0,9.05,7.9,7.55,8.54,8.15
Vicente Jové,2000574547.0,8.1,8.95,8.85,10.23,7.7
Antonio Manuel Bazán,2000714138.0,5.1,7.35,6.05,9.23,4.35
Manuel García,2000633004.0,5.2,7.9,4.4,8.62,4.7
