Player,UID,AMC,AP,T,SS,AM,EG
Arnau Tenas,67265794.0,13.95,13.65,13.95,12.35,13.15,12.95
Ismael Casas,67271373.0,18.55,17.8,18.55,17.5,17.9,17.45
Lovre Vujčić,2000188309.0,11.3,11.0,11.3,10.6,10.9,10.9
Ulises Campus,2000273292.0,16.2,14.9,16.2,15.15,15.55,12.95
Jorge Cuenca,67248170.0,16.9,16.15,16.9,15.85,16.4,15.5
Antonio Raúl Escuín,2000440594.0,16.45,15.7,16.45,15.55,15.5,14.3
Serafín,2000512562.0,16.3,16.75,16.3,16.65,17.15,18.45
Iván Martínez,2000510865.0,16.9,15.85,16.9,16.6,15.75,14.9
Félix,2000192673.0,18.3,18.9,18.3,17.6,18.8,18.3
Luis Suárez,76046285.0,13.7,13.4,13.7,14.6,14.2,13.7
Jose Luis,2000438355.0,16.4,16.65,16.4,15.7,16.1,14.8
Cristian Manea,57120897.0,16.85,16.1,16.85,15.65,15.85,15.75
Cristian Rivero,67246343.0,12.9,11.4,12.9,9.65,11.35,9.45
Olmo,2000512864.0,15.8,14.95,15.8,15.1,15.4,14.8
Antonio Javier García,2000571328.0,16.65,17.4,16.65,17.65,17.5,18.2
Eugenio Caínzos,2000630560.0,16.0,16.55,16.0,15.65,16.2,16.6
Saúl Salcedo,79026928.0,16.15,15.4,16.15,15.4,15.5,14.55
Domingo Funcasta,2000510087.0,17.55,18.0,17.55,16.15,17.2,16.45
Moussa Djenepo,6601602.0,15.85,16.15,15.85,15.4,15.6,16.7
Jesse Lingard,28047560.0,19.25,19.1,19.25,18.3,18.15,17.9
Denis Vavro,63025710.0,16.5,15.3,16.5,14.65,14.95,14.1
Alberto Quintana,67280840.0,17.15,16.65,17.15,16.45,16.95,15.15
Edimilson Fernandes,98030084.0,16.5,16.0,16.5,16.15,16.3,16.05
José María Garai,2000437777.0,16.25,16.8,16.25,15.95,16.8,15.6
Can Balcı,2000566216.0,15.9,14.55,15.9,14.6,15.1,13.45
0,2000606148.0,17.8,18.55,17.8,14.15,15.5,17.8
Migue Ortiz,2000630559.0,13.3,13.7,13.3,13.2,13.8,14.0
