Player,UID,Position
Arnau Tenas,67265794,GK
Ismael Casas,67271373,"D (RLC), WB (R)"
Lovre Vujčić,2000188309,D (RC)
Ulises Campus,2000273292,"D (C), DM, M (C)"
Jorge Cuenca,67248170,D (LC)
Antonio Raúl Escuín,2000440594,"D (C), DM, M (C)"
Serafín,2000512562,"M (C), AM (RLC)"
Iván Martínez,2000510865,"WB (R), M (C), AM (R), ST (C)"
Félix,2000192673,M/AM (RC)
Luis Suárez,76046285,"AM (L), ST (C)"
Jose Luis,2000438355,"M/AM (C), ST (C)"
Cristian Manea,57120897,"D (RC), WB (R)"
Cristian Rivero,67246343,GK
Olmo,2000512864,"WB (R), DM, M (C)"
Antonio Javier García,2000571328,"AM (R), ST (C)"
Eugenio Caínzos,2000630560,M/AM (C)
Saúl Salcedo,79026928,D (C)
Domingo Funcasta,2000510087,"M (L), AM (RL)"
Moussa Djenepo,6601602,"M (RL), AM (RLC), ST (C)"
Jesse Lingard,28047560,"M/AM (RLC), ST (C)"
Denis Vavro,63025710,"D (C), DM"
Alberto Quintana,67280840,"D (C), DM, M (C)"
Edimilson Fernandes,98030084,"DM, M/AM (RC)"
José María Garai,2000437777,M (C)
Can Balcı,2000566216,D (LC)
0,2000606148,M/AM (L)
Migue Ortiz,2000630559,"M (C), AM (RLC)"
