Player,UID,DM,AM,BWM,HB,SV,RGA
Arnau Tenas,67265794.0,13.05,12.0,12.0,14.1,13.75,15.6
Ismael Casas,67271373.0,16.95,16.65,16.65,17.65,17.3,16.75
Lovre Vujčić,2000188309.0,13.1,13.2,13.2,13.4,12.6,10.2
Ulises Campus,2000273292.0,19.7,19.5,19.5,18.5,17.45,14.85
Jorge Cuenca,67248170.0,17.1,16.5,16.5,17.5,17.3,15.65
Antonio Raúl Escuín,2000440594.0,17.65,16.6,16.6,17.75,16.5,15.2
Serafín,2000512562.0,14.85,13.95,13.95,13.8,15.3,16.3
Iván Martínez,2000510865.0,18.15,18.65,18.65,19.8,18.25,14.8
Félix,2000192673.0,15.9,15.5,15.5,14.7,16.4,17.9
Luis Suárez,76046285.0,13.15,13.05,13.05,14.35,13.25,14.2
Jose Luis,2000438355.0,16.95,16.8,16.8,15.7,15.35,16.8
Cristian Manea,57120897.0,16.4,16.45,16.45,17.4,16.4,15.45
Cristian Rivero,67246343.0,12.05,11.7,11.7,12.5,11.6,12.55
Olmo,2000512864.0,16.8,17.45,17.45,17.7,16.2,14.25
Antonio Javier García,2000571328.0,15.35,14.9,14.9,14.95,14.85,16.05
Eugenio Caínzos,2000630560.0,12.0,11.8,11.8,12.7,12.8,15.5
Saúl Salcedo,79026928.0,17.25,17.1,17.1,18.0,16.7,16.2
Domingo Funcasta,2000510087.0,14.6,14.95,14.95,13.35,12.4,15.15
Moussa Djenepo,6601602.0,12.5,12.4,12.4,13.25,12.85,14.65
Jesse Lingard,28047560.0,15.3,16.15,16.15,16.8,15.1,18.0
Denis Vavro,63025710.0,18.4,18.95,18.95,19.15,16.45,14.9
Alberto Quintana,67280840.0,17.5,17.75,17.75,16.3,16.15,16.0
Edimilson Fernandes,98030084.0,15.9,15.6,15.6,15.0,15.6,16.0
José María Garai,2000437777.0,14.1,13.6,13.6,14.05,14.2,15.85
Can Balcı,2000566216.0,17.6,17.6,17.6,17.2,16.0,15.0
0,2000606148.0,10.55,11.75,11.75,11.9,9.5,12.95
Migue Ortiz,2000630559.0,11.0,10.9,10.9,10.9,11.5,13.0
