Player,UID,WM,W,DW,IW,IF,WG
Arnau Tenas,67265794.0,10.0,10.5,12.25,13.15,12.35,10.96
Ismael Casas,67271373.0,18.0,18.9,17.65,17.9,17.5,17.17
Lovre Vujčić,2000188309.0,11.2,11.3,12.4,10.9,10.6,11.75
Ulises Campus,2000273292.0,14.75,14.75,17.7,15.55,15.15,15.04
Jorge Cuenca,67248170.0,15.2,15.0,16.0,16.4,15.85,15.0
Antonio Raúl Escuín,2000440594.0,15.45,15.3,16.25,15.5,15.55,15.0
Serafín,2000512562.0,16.35,18.6,14.9,17.15,16.65,17.42
Iván Martínez,2000510865.0,17.2,16.0,19.05,15.75,16.6,15.08
Félix,2000192673.0,16.9,16.1,15.85,18.8,17.6,15.25
Luis Suárez,76046285.0,12.75,14.1,13.05,14.2,14.6,13.92
Jose Luis,2000438355.0,15.8,15.4,15.6,16.1,15.7,14.92
Cristian Manea,57120897.0,16.1,17.05,16.8,15.85,15.65,16.12
Cristian Rivero,67246343.0,10.0,10.1,10.8,11.35,9.65,10.17
Olmo,2000512864.0,15.35,16.9,16.05,15.4,15.1,16.04
Antonio Javier García,2000571328.0,15.95,18.9,14.65,17.5,17.65,17.33
Eugenio Caínzos,2000630560.0,14.25,16.35,12.3,16.2,15.65,15.33
Saúl Salcedo,79026928.0,15.5,15.1,16.6,15.5,15.4,15.0
Domingo Funcasta,2000510087.0,17.1,17.65,14.05,17.2,16.15,16.88
Moussa Djenepo,6601602.0,15.55,17.1,13.2,15.6,15.4,15.5
Jesse Lingard,28047560.0,17.8,17.4,16.3,18.15,18.3,15.17
Denis Vavro,63025710.0,14.7,15.6,16.2,14.95,14.65,15.58
Alberto Quintana,67280840.0,16.15,16.3,16.5,16.95,16.45,17.21
Edimilson Fernandes,98030084.0,15.6,16.15,15.9,16.3,16.15,16.12
José María Garai,2000437777.0,14.7,15.45,13.35,16.8,15.95,14.75
Can Balcı,2000566216.0,14.4,13.25,15.75,15.1,14.6,13.12
0,2000606148.0,15.9,19.7,10.55,15.5,14.15,19.21
Migue Ortiz,2000630559.0,12.2,12.8,10.6,13.8,13.2,12.0
