Player,UID,AMC,AP,T,SS,AM,EG
Sergi Pascual,2000196434,14.7,14.3,14.7,14.0,14.8,14.1
António Silva,83320135,11.4,10.7,11.4,9.7,10.8,9.9
David Carmo,83111598,12.6,12.0,12.6,11.6,12.1,11.9
Mikel Oyarzábal,67220143,15.4,15.5,15.4,15.5,15.6,15.6
Gaetano Oristanio,43425611,13.7,14.0,13.7,13.7,14.2,14.2
Adam Hlozek,31041522,11.6,12.2,11.6,12.5,12.1,12.9
Scott Diaz,2000706461,12.5,12.3,12.5,12.2,12.7,11.5
John Bueno,2000419425,15.3,16.0,15.3,15.8,16.0,16.4
Luka Bransteter,2000054638,12.9,13.2,12.9,13.3,13.2,13.6
William Saliba,49039004,13.1,12.6,13.1,11.9,12.4,12.3
Tibo De Vos,2000663034,12.4,13.1,12.4,13.4,13.2,13.1
Özgün Karatepe,2000631119,11.5,10.4,11.5,11.2,11.4,9.9
Ignacio Vallina,2000570634,15.6,15.4,15.6,14.2,15.0,14.6
Alen Bartolović,2000506471,11.2,12.0,11.2,12.0,11.9,12.9
Paweł Brzyski,2000433744,13.5,13.5,13.5,13.2,14.0,13.3
Ayrton Tallura,2000274550,15.1,16.0,15.1,14.8,15.9,16.1
Renato Pereira,2000190646,13.2,13.1,13.2,12.3,13.0,13.0
José Gragera,67263880,13.4,12.9,13.4,12.5,13.1,12.2
Álex Remiro,67183918,11.2,10.4,11.2,9.5,10.1,9.1
Gabriel Martinelli,19351309,14.0,14.3,14.0,14.4,14.5,14.4
Piotr Jabłoński,2000623979,13.4,12.7,13.4,12.9,12.9,12.2
Pablo,2000572050,13.1,13.4,13.1,13.3,13.7,14.2
Vicente,2000571659,11.1,11.8,11.1,10.9,11.1,11.8
Matthias Hasa,2000568032,13.1,13.6,13.1,13.5,13.9,14.3
Manuel Bosch,2000514796,12.8,13.2,12.8,12.5,12.9,13.3
Harald Klingmann,2000504134,11.0,10.2,11.0,10.4,10.6,10.1
Aritz García,2000439255,10.2,9.6,10.2,9.2,9.5,9.2
John Damiano,2000435431,13.4,12.2,13.4,11.7,12.2,10.9
Kai Ocaña,2000194470,12.9,12.4,12.9,12.3,12.8,12.9
Denis Zakaria,98034601,13.5,13.2,13.5,12.9,13.4,13.3
Robin Le Normand,48037162,12.6,12.0,12.6,11.8,12.0,11.3
Brandon Williams,28115834,12.5,12.4,12.5,12.8,12.5,12.6
Francesco Zamuner,2000626880,12.2,11.6,12.2,12.1,12.4,11.7
Felipe,2000510074,12.3,12.4,12.3,12.6,12.4,13.1
Lukas Mohr,2000432897,12.2,11.5,12.2,11.5,12.0,11.0
Kim Christian Høyenhall,2000182998,10.2,8.9,10.2,8.9,9.7,8.7
Koldo Valencia,2000663358,11.6,12.1,11.6,11.9,11.6,12.0
Souza,2000607666,13.8,13.2,13.8,12.7,13.5,13.0
Agustín Kranevitter,2000612966,9.6,8.7,9.6,7.9,8.9,8.2
Antonio Navarro,2000571902,11.5,11.1,11.5,9.9,10.5,10.4
Stefán Þór Jónsson,2000531873,10.5,9.7,10.5,9.8,10.1,9.0
Ronald Woudenberg,2000633117,8.6,7.8,8.6,7.0,8.1,7.0
