Player,UID,FB,WB,IWB,CWB,NNFB
Sergi Pascual,2000196434,13.6,12.9,14.1,13.31,13.5
António Silva,83320135,13.8,12.0,13.1,11.62,13.2
David Carmo,83111598,13.4,12.0,13.3,12.15,13.9
Mikel Oyarzábal,67220143,13.6,13.6,14.4,14.15,13.5
Gaetano Oristanio,43425611,11.1,11.4,11.5,12.23,9.8
Adam Hlozek,31041522,10.9,10.9,10.2,11.31,10.6
Scott Diaz,2000706461,11.3,10.5,11.4,11.38,11.2
John Bueno,2000419425,12.4,13.3,13.1,14.0,11.5
Luka Bransteter,2000054638,11.1,11.3,10.8,11.54,11.3
William Saliba,49039004,14.4,12.9,13.5,12.77,14.3
Tibo De Vos,2000663034,11.3,11.2,11.0,12.0,9.9
Özgün Karatepe,2000631119,13.4,12.3,12.4,11.77,13.6
Ignacio Vallina,2000570634,14.8,13.1,14.8,13.77,14.5
Alen Bartolović,2000506471,9.5,10.2,8.7,10.46,7.8
Paweł Brzyski,2000433744,12.5,11.8,12.6,12.15,12.2
Ayrton Tallura,2000274550,11.6,11.7,12.5,13.08,11.3
Renato Pereira,2000190646,13.0,11.6,13.0,12.0,12.9
José Gragera,67263880,13.0,11.7,13.5,12.31,13.2
Álex Remiro,67183918,10.1,6.9,10.0,8.38,9.6
Gabriel Martinelli,19351309,12.3,11.9,11.8,12.38,11.3
Piotr Jabłoński,2000623979,14.6,13.5,13.1,13.15,12.2
Pablo,2000572050,12.1,12.7,11.6,12.92,10.1
Vicente,2000571659,9.1,9.4,8.6,10.23,8.3
Matthias Hasa,2000568032,10.8,11.0,11.0,12.15,9.3
Manuel Bosch,2000514796,11.8,11.9,11.7,12.46,10.6
Harald Klingmann,2000504134,12.9,11.2,11.7,11.15,12.7
Aritz García,2000439255,12.9,10.5,11.5,9.92,13.5
John Damiano,2000435431,14.4,11.9,13.7,12.08,14.1
Kai Ocaña,2000194470,11.7,12.3,11.1,12.62,11.7
Denis Zakaria,98034601,13.9,13.2,13.7,13.08,14.5
Robin Le Normand,48037162,14.4,12.1,13.7,12.38,14.7
Brandon Williams,28115834,13.6,13.6,12.3,13.38,13.7
Francesco Zamuner,2000626880,11.3,10.8,11.8,11.54,11.9
Felipe,2000510074,11.9,12.3,10.8,11.85,11.2
Lukas Mohr,2000432897,13.8,12.4,12.6,12.08,12.6
Kim Christian Høyenhall,2000182998,9.9,7.1,10.3,8.15,9.6
Koldo Valencia,2000663358,10.8,11.0,10.2,11.46,10.1
Souza,2000607666,14.9,13.5,14.7,13.08,14.8
Agustín Kranevitter,2000612966,8.6,6.0,9.2,6.69,9.2
Antonio Navarro,2000571902,12.3,10.8,10.5,10.54,11.5
Stefán Þór Jónsson,2000531873,12.5,10.8,11.6,10.38,13.2
Ronald Woudenberg,2000633117,8.3,6.6,8.4,6.54,8.4
