Player,UID,FB,WB,IWB,CWB,NNFB
Youssoufa Moukoko,2000074825,13.1,13.5,13.2,14.0,12.0
Thiago Almada,14172522,12.2,12.5,13.0,13.31,11.3
Ibrahim Zagré,2000435828,12.7,12.8,12.9,13.15,11.9
Abdulaziz Yılmazer,2000433229,12.7,13.3,12.2,13.62,11.6
Eduardo Camavinga,49056243,15.1,14.3,15.6,14.62,14.8
Gianluigi Donnarumma,43252073,12.5,8.3,11.6,8.23,12.5
Ryan Gravenberch,37071197,13.5,13.7,14.0,14.23,12.4
Manuel Oliveira,2000434824,12.9,13.9,12.4,14.38,10.9
Jhonatan Mejía,2000415671,13.8,14.1,14.5,14.54,12.9
Nicolai Witt,2000322718,14.7,12.7,13.6,12.77,14.1
Karl-Heinz Heckenberger,2000232571,12.5,12.6,13.6,13.77,12.3
Juan Carlos,2000192885,12.7,13.2,12.5,13.62,10.9
Romelu Lukaku,18007344,12.5,11.3,12.1,12.0,13.1
Luís Ricardo,2000410716,13.0,13.3,13.4,13.92,12.1
Alfredo Piecenti,2000272907,15.0,13.2,13.5,12.85,14.5
Nico Williams,67276230,12.9,13.5,12.5,13.62,11.0
Carlos Soler,67196204,13.3,13.3,13.7,13.69,13.1
Manuel Locatelli,43167354,14.2,13.4,15.0,14.0,14.6
Teun Koopmeiners,37057982,14.1,13.1,14.6,13.54,14.0
Kenedy,2000410526,14.5,14.4,14.4,14.38,13.7
Amar Forsberg,2000397706,15.0,12.7,14.5,12.62,15.4
Mamoudou Camara,2000197834,10.7,11.6,10.4,12.31,10.1
Marco Alves,2000189590,15.2,13.9,14.9,13.85,15.4
Nuno Mendes,83261910,14.5,14.6,14.4,14.46,13.9
Olexandr Zinchenko,71081391,12.5,11.8,12.2,12.23,11.7
Andrea Papetti,43425644,14.2,12.9,13.7,12.69,13.9
Juan Guerra,2000511832,11.2,11.6,12.6,12.77,10.5
Luciano Puglisi,2000191663,14.9,14.8,14.8,14.77,15.0
Duško Čikić,2000191147,14.8,13.3,14.1,13.15,15.4
Morten Sørensen,2000189231,11.0,7.1,11.3,7.69,10.5
Rasmus Jönsson,2000397710,11.1,11.8,11.5,12.92,10.3
Sorin Tudor,2000335174,15.3,13.9,14.4,13.0,15.8
Michele Ceccarelli,2000323829,10.6,7.1,9.4,7.54,9.9
