Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Pablo,2000193992.0,9.2,9.2,9.2,9.2,8.1,8.1,8.6,8.6,8.17,8.17
Alejandro Francés,67281886.0,17.25,17.25,17.25,17.25,17.55,17.55,16.6,16.6,16.71,16.71
Arkadiusz Marciniak,2000232548.0,15.2,15.2,15.2,15.2,15.95,15.95,14.15,14.15,15.71,15.71
Quique Clemente,67246261.0,17.85,17.85,17.85,17.85,17.15,17.15,16.2,16.2,16.29,16.29
Eric Kahl,93142833.0,18.15,18.15,18.15,18.15,18.15,18.15,17.3,17.3,16.79,16.79
Ismaïla Sarr,48042766.0,13.2,13.2,13.2,13.2,13.2,13.2,13.5,13.5,12.25,12.25
Francho,67278162.0,18.05,18.05,18.05,18.05,17.85,17.85,18.1,18.1,17.12,17.12
Renato Adriano,2000411533.0,17.15,17.15,17.15,17.15,15.45,15.45,16.55,16.55,15.21,15.21
Ruben Vargas,98041215.0,14.1,14.1,14.1,14.1,13.8,13.8,13.9,13.9,13.08,13.08
Javi Mas,2000511079.0,18.25,18.25,18.25,18.25,18.25,18.25,17.75,17.75,17.79,17.79
Jorge Cañadas,2000511078.0,18.25,18.25,18.25,18.25,18.9,18.9,18.0,18.0,18.0,18.0
Martín Merino,2000201919.0,9.35,9.35,9.35,9.35,6.35,6.35,7.65,7.65,7.33,7.33
Óscar Gil,67227188.0,15.8,15.8,15.8,15.8,19.25,19.25,15.2,15.2,17.46,17.46
Dídac,2000437768.0,14.2,14.2,14.2,14.2,12.5,12.5,14.1,14.1,12.5,12.5
Fernando Silva,2000439540.0,19.05,19.05,19.05,19.05,21.2,21.2,19.4,19.4,19.33,19.33
Luis Carbonell,95078291.0,14.3,14.3,14.3,14.3,14.45,14.45,14.2,14.2,13.29,13.29
Alejandro Balde,67296654.0,18.2,18.2,18.2,18.2,19.45,19.45,18.1,18.1,17.71,17.71
Carles Aleñá,67213011.0,18.8,18.8,18.8,18.8,17.35,17.35,18.3,18.3,15.96,15.96
Malcom,19229435.0,14.3,14.3,14.3,14.3,14.1,14.1,13.8,13.8,13.0,13.0
Marvin,67277459.0,15.5,15.5,15.5,15.5,15.8,15.8,15.3,15.3,14.17,14.17
Ander Imaz,2000439533.0,17.45,17.45,17.45,17.45,18.3,18.3,17.35,17.35,16.25,16.25
Jesus Carrasco,2000439537.0,11.7,11.7,11.7,11.7,12.5,12.5,11.0,11.0,12.0,12.0
Francisco Jesús,2000511084.0,15.7,15.7,15.7,15.7,14.9,14.9,15.4,15.4,14.25,14.25
Vladimir Moldovan,2000570460.0,18.55,18.55,18.55,18.55,17.45,17.45,18.5,18.5,16.71,16.71
Jorge Tato,2000571897.0,12.25,12.25,12.25,12.25,15.45,15.45,12.65,12.65,14.62,14.62
