Player,UID,FB,WB,IWB,CWB,NNFB
Pablo,2000193992.0,10.1,7.1,9.2,7.62,9.4
Alejandro Francés,67281886.0,18.35,16.4,17.1,15.81,17.9
Arkadiusz Marciniak,2000232548.0,18.2,15.4,16.5,14.5,18.75
Quique Clemente,67246261.0,18.15,15.95,17.6,16.38,17.2
Eric Kahl,93142833.0,17.3,16.9,16.25,16.92,16.95
Ismaïla Sarr,48042766.0,12.55,11.95,12.15,12.12,12.15
Francho,67278162.0,19.7,18.0,17.7,17.27,18.45
Renato Adriano,2000411533.0,17.85,14.75,16.85,15.46,15.7
Ruben Vargas,98041215.0,13.55,13.3,13.75,13.46,13.45
Javi Mas,2000511079.0,17.3,16.75,16.4,16.81,16.25
Jorge Cañadas,2000511078.0,14.7,15.0,15.0,14.92,14.3
Martín Merino,2000201919.0,8.75,5.4,10.1,5.5,10.35
Óscar Gil,67227188.0,18.55,17.55,16.0,16.65,16.8
Dídac,2000437768.0,11.9,11.4,12.0,12.08,12.4
Fernando Silva,2000439540.0,15.8,15.45,13.8,15.46,13.85
Luis Carbonell,95078291.0,13.4,12.8,13.1,12.92,13.35
Alejandro Balde,67296654.0,16.4,16.95,15.1,17.12,15.45
Carles Aleñá,67213011.0,13.8,13.6,15.8,15.31,13.9
Malcom,19229435.0,10.35,11.15,10.75,12.12,8.95
Marvin,67277459.0,12.5,13.1,12.75,13.54,12.05
Ander Imaz,2000439533.0,12.75,14.95,12.6,15.23,10.75
Jesus Carrasco,2000439537.0,9.4,10.1,8.6,10.46,7.8
Francisco Jesús,2000511084.0,15.35,13.45,15.1,14.46,15.55
Vladimir Moldovan,2000570460.0,16.95,15.5,17.6,16.31,15.85
Jorge Tato,2000571897.0,13.05,11.95,10.4,11.5,10.7
