Player,UID,WM,W,DW,IW,IF,WG
Pablo,2000193992.0,7.9,8.1,8.9,9.2,8.6,8.17
Alejandro Francés,67281886.0,16.35,17.55,17.55,17.25,16.6,16.71
Arkadiusz Marciniak,2000232548.0,15.0,15.95,16.35,15.2,14.15,15.71
Quique Clemente,67246261.0,16.25,17.15,17.5,17.85,16.2,16.29
Eric Kahl,93142833.0,16.8,18.15,16.55,18.15,17.3,16.79
Ismaïla Sarr,48042766.0,11.45,13.2,11.85,13.2,13.5,12.25
Francho,67278162.0,17.0,17.85,18.15,18.05,18.1,17.12
Renato Adriano,2000411533.0,14.75,15.45,16.25,17.15,16.55,15.21
Ruben Vargas,98041215.0,13.55,13.8,13.45,14.1,13.9,13.08
Javi Mas,2000511079.0,16.2,18.25,16.0,18.25,17.75,17.79
Jorge Cañadas,2000511078.0,15.85,18.9,14.25,18.25,18.0,18.0
Martín Merino,2000201919.0,6.25,6.35,8.55,9.35,7.65,7.33
Óscar Gil,67227188.0,17.3,19.25,17.5,15.8,15.2,17.46
Dídac,2000437768.0,12.5,12.5,11.0,14.2,14.1,12.5
Fernando Silva,2000439540.0,17.4,21.2,14.6,19.05,19.4,19.33
Luis Carbonell,95078291.0,13.65,14.45,13.35,14.3,14.2,13.29
Alejandro Balde,67296654.0,17.35,19.45,15.8,18.2,18.1,17.71
Carles Aleñá,67213011.0,16.95,17.35,15.6,18.8,18.3,15.96
Malcom,19229435.0,12.3,14.1,10.15,14.3,13.8,13.0
Marvin,67277459.0,13.9,15.8,12.6,15.5,15.3,14.17
Ander Imaz,2000439533.0,16.5,18.3,13.0,17.45,17.35,16.25
Jesus Carrasco,2000439537.0,11.2,12.5,8.4,11.7,11.0,12.0
Francisco Jesús,2000511084.0,14.75,14.9,14.9,15.7,15.4,14.25
Vladimir Moldovan,2000570460.0,17.9,17.45,17.55,18.55,18.5,16.71
Jorge Tato,2000571897.0,13.0,15.45,11.85,12.25,12.65,14.62
