Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Gregor Kobel,98040383.0,12.7,12.7,12.7,12.7,10.5,10.5,11.4,11.4,11.58,11.58
César Ramírez,2000194011.0,15.1,15.1,15.1,15.1,14.3,14.3,14.85,14.85,13.5,13.5
Dušan Stojinović,62218369.0,13.85,13.85,13.85,13.85,14.0,14.0,13.25,13.25,14.0,14.0
Guillem Molina,67260507.0,12.05,12.05,12.05,12.05,11.8,11.8,11.75,11.75,12.08,12.08
Toni Herrero,67277687.0,12.8,12.8,12.8,12.8,12.8,12.8,12.5,12.5,12.42,12.42
Rami Hajal,93099931.0,15.25,15.25,15.25,15.25,15.15,15.15,14.85,14.85,14.54,14.54
Óscar Melendo,67214687.0,16.0,16.0,16.0,16.0,16.85,16.85,15.1,15.1,15.12,15.12
Francisco Conceição,83261140.0,18.7,18.7,18.7,18.7,17.7,17.7,18.65,18.65,15.75,15.75
David,2000441683.0,18.75,18.75,18.75,18.75,16.85,16.85,17.55,17.55,15.71,15.71
Matías Vargas,14141967.0,15.7,15.7,15.7,15.7,16.2,16.2,15.2,15.2,14.42,14.42
0,29236380.0,12.3,12.3,12.3,12.3,13.7,13.7,12.8,12.8,13.33,13.33
Lucas Forsberg,93141098.0,16.15,16.15,16.15,16.15,15.95,15.95,15.1,15.1,15.04,15.04
Cezary Miszta,96122113.0,15.45,15.45,15.45,15.45,12.05,12.05,14.95,14.95,12.96,12.96
Tymoteusz Puchacz,96086694.0,15.35,15.35,15.35,15.35,18.85,18.85,15.0,15.0,17.62,17.62
Oier Zarraga,67260201.0,14.05,14.05,14.05,14.05,14.7,14.7,13.65,13.65,14.0,14.0
Jorge De Frutos,67231100.0,16.85,16.85,16.85,16.85,17.45,17.45,16.7,16.7,15.62,15.62
Chumi,95036003.0,11.95,11.95,11.95,11.95,12.0,12.0,11.1,11.1,12.25,12.25
Brais Méndez,67199158.0,18.35,18.35,18.35,18.35,17.95,17.95,17.6,17.6,16.54,16.54
Miguel Menino,83320117.0,15.2,15.2,15.2,15.2,16.65,16.65,15.0,15.0,15.54,15.54
Carlos,2000202592.0,15.65,15.65,15.65,15.65,15.5,15.5,15.05,15.05,14.75,14.75
Noé Blasco,2000440885.0,13.1,13.1,13.1,13.1,13.4,13.4,12.5,12.5,12.67,12.67
Josep,2000513274.0,14.4,14.4,14.4,14.4,16.65,16.65,13.35,13.35,15.38,15.38
Isak Amundsen,53178292.0,13.45,13.45,13.45,13.45,14.7,14.7,13.3,13.3,14.5,14.5
José Luis Ruano,2000572819.0,16.7,16.7,16.7,16.7,16.85,16.85,16.65,16.65,15.88,15.88
