Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Gregor Kobel,98040383.0,1001.0,1110.0,1329.5,1062.0,1207.5,1079.5,1282.0,1195.5,1243.0,1441.5
César Ramírez,2000194011.0,1042.5,1240.5,1398.0,1206.0,1380.5,1225.0,1408.5,1358.0,1378.0,1556.5
Dušan Stojinović,62218369.0,969.5,1190.0,1390.5,1160.5,1310.0,1197.0,1359.5,1333.0,1331.5,1575.5
Guillem Molina,67260507.0,1046.0,1203.0,1447.5,1132.0,1321.5,1121.0,1331.0,1251.0,1303.5,1496.0
Toni Herrero,67277687.0,839.0,1063.0,1255.0,1041.0,1193.0,1064.0,1219.0,1202.0,1185.0,1379.0
Rami Hajal,93099931.0,1036.5,1221.5,1381.0,1191.0,1355.5,1249.5,1408.0,1388.5,1391.5,1590.5
Óscar Melendo,67214687.0,1117.5,1286.0,1419.0,1270.5,1424.0,1324.5,1472.5,1473.5,1456.0,1619.0
Francisco Conceição,83261140.0,1061.0,1250.5,1345.5,1266.5,1438.5,1381.0,1566.5,1536.0,1547.5,1757.5
David,2000441683.0,1057.0,1262.0,1422.0,1265.0,1457.5,1351.0,1581.5,1503.0,1552.5,1748.5
Matías Vargas,14141967.0,1139.5,1271.0,1394.5,1260.0,1414.5,1350.0,1492.5,1494.0,1473.5,1666.0
0,29236380.0,830.5,1068.5,1251.5,1061.0,1191.5,1094.0,1240.5,1259.0,1243.5,1498.0
Lucas Forsberg,93141098.0,1141.5,1396.5,1570.5,1390.5,1519.5,1411.5,1598.0,1615.0,1588.5,1780.5
Cezary Miszta,96122113.0,1122.5,1223.0,1450.5,1161.5,1321.0,1153.0,1392.0,1267.5,1324.5,1521.0
Tymoteusz Puchacz,96086694.0,1144.5,1368.5,1518.5,1360.0,1492.0,1438.5,1577.5,1633.5,1582.5,1816.5
Oier Zarraga,67260201.0,1102.0,1289.5,1523.0,1235.0,1450.5,1264.5,1456.0,1402.5,1396.0,1602.5
Jorge De Frutos,67231100.0,985.5,1212.0,1313.5,1222.5,1384.0,1317.0,1479.5,1464.5,1458.0,1666.5
Chumi,95036003.0,972.0,1147.0,1353.5,1086.0,1254.5,1085.0,1275.0,1211.0,1234.0,1412.5
Brais Méndez,67199158.0,1037.0,1283.0,1406.0,1277.5,1469.5,1383.0,1580.5,1530.0,1535.5,1724.5
Miguel Menino,83320117.0,1080.5,1286.5,1475.5,1264.0,1426.5,1322.5,1457.0,1472.5,1428.0,1672.5
Carlos,2000202592.0,1135.5,1389.5,1631.5,1354.0,1560.0,1359.0,1587.5,1547.0,1546.5,1774.5
Noé Blasco,2000440885.0,731.0,959.0,1066.0,980.0,1082.0,1045.0,1164.0,1181.0,1158.0,1313.0
Josep,2000513274.0,1022.0,1253.5,1394.0,1239.5,1347.5,1240.5,1392.0,1408.5,1386.0,1542.0
Isak Amundsen,53178292.0,1029.5,1259.5,1444.5,1222.5,1374.0,1248.5,1402.5,1400.5,1384.5,1612.0
José Luis Ruano,2000572819.0,1006.5,1259.0,1446.5,1261.5,1391.5,1306.0,1481.5,1475.5,1464.5,1668.5
