Player,UID,CD,BPD,NNCB,Lib
Gregor Kobel,98040383.0,13.25,13.1,12.75,11.3
César Ramírez,2000194011.0,14.9,13.15,13.55,14.5
Dušan Stojinović,62218369.0,14.15,13.4,13.75,14.1
Guillem Molina,67260507.0,14.6,13.85,14.75,14.3
Toni Herrero,67277687.0,12.5,12.5,12.6,12.9
Rami Hajal,93099931.0,11.8,11.85,12.0,12.75
Óscar Melendo,67214687.0,12.75,12.15,12.05,14.65
Francisco Conceição,83261140.0,11.1,11.25,12.0,15.1
David,2000441683.0,11.6,12.15,10.85,14.95
Matías Vargas,14141967.0,12.4,11.45,11.9,14.05
0,29236380.0,11.25,11.15,11.25,11.15
Lucas Forsberg,93141098.0,14.25,14.75,13.95,15.4
Cezary Miszta,96122113.0,14.7,14.85,14.1,14.15
Tymoteusz Puchacz,96086694.0,13.45,12.05,13.9,13.0
Oier Zarraga,67260201.0,15.95,14.5,16.05,14.8
Jorge De Frutos,67231100.0,11.5,11.25,11.75,14.5
Chumi,95036003.0,14.75,13.5,14.55,12.8
Brais Méndez,67199158.0,11.85,11.6,10.65,14.6
Miguel Menino,83320117.0,13.95,13.2,13.65,13.9
Carlos,2000202592.0,14.3,15.25,14.85,14.6
Noé Blasco,2000440885.0,9.5,10.1,9.1,11.6
Josep,2000513274.0,13.05,11.45,13.5,13.15
Isak Amundsen,53178292.0,15.25,13.75,14.65,13.15
José Luis Ruano,2000572819.0,12.4,13.0,13.35,14.8
