Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Gregor Kobel,98040383.0,6.5,15.0,14.75,13.17,9.83,10.33,17.0,16.83
César Ramírez,2000194011.0,12.67,18.12,11.0,15.0,12.83,15.0,9.5,18.33
Dušan Stojinović,62218369.0,13.0,16.62,12.0,11.67,15.17,13.0,14.0,14.58
Guillem Molina,67260507.0,15.0,16.88,15.0,10.67,11.67,9.5,13.5,15.33
Toni Herrero,67277687.0,13.33,12.5,14.0,12.0,11.0,12.67,10.5,13.17
Rami Hajal,93099931.0,8.0,17.5,13.0,16.5,12.83,13.0,11.5,17.08
Óscar Melendo,67214687.0,10.67,18.0,14.0,18.33,14.0,14.33,6.5,19.33
Francisco Conceição,83261140.0,7.83,16.38,13.5,19.0,19.0,20.0,6.0,17.67
David,2000441683.0,9.5,18.12,13.5,19.5,17.33,18.67,10.0,16.75
Matías Vargas,14141967.0,9.5,17.25,14.0,16.67,16.67,15.33,5.5,17.75
0,29236380.0,11.5,13.5,18.0,12.0,14.67,12.33,11.5,12.17
Lucas Forsberg,93141098.0,11.67,18.0,24.0,14.5,12.33,13.5,10.5,16.75
Cezary Miszta,96122113.0,8.67,16.62,12.5,13.33,10.0,11.17,17.5,18.92
Tymoteusz Puchacz,96086694.0,10.0,18.62,22.25,15.33,15.5,13.0,11.5,16.75
Oier Zarraga,67260201.0,16.33,16.25,14.5,16.0,13.33,12.33,10.5,19.42
Jorge De Frutos,67231100.0,9.0,15.5,14.5,18.33,18.67,15.5,6.5,17.25
Chumi,95036003.0,13.33,16.25,12.0,12.83,10.33,10.17,13.5,15.92
Brais Méndez,67199158.0,9.17,15.38,12.5,19.0,17.83,15.83,9.5,17.5
Miguel Menino,83320117.0,12.5,18.12,14.0,16.5,14.67,14.33,10.0,18.17
Carlos,2000202592.0,14.33,19.62,20.5,15.33,13.67,12.0,11.0,15.5
Noé Blasco,2000440885.0,7.67,12.75,14.0,14.67,9.67,14.33,9.0,11.5
Josep,2000513274.0,13.0,21.62,15.0,13.17,11.67,12.17,9.0,14.92
Isak Amundsen,53178292.0,12.67,19.88,13.0,13.5,12.0,13.67,13.5,17.08
José Luis Ruano,2000572819.0,12.67,17.38,16.5,17.5,12.0,18.0,11.0,13.67
