Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling
Gregor Kobel,98040383.0,17.0,12.0,6.5,14.5,10.0,9.0,9.375,12.75,14.5,5.25,14.0,11.75,10.2,10.666666666666666,11.5,12.5,9.5,12.0,11.75,9.0
César Ramírez,2000194011.0,9.0,14.0,10.0,12.0,12.5,13.333333333333334,11.25,16.5,12.0,11.75,12.5,11.375,13.0,12.0,12.0,16.666666666666668,9.75,12.666666666666666,13.25,12.0
Dušan Stojinović,62218369.0,14.0,11.666666666666666,14.0,12.75,10.25,10.0,11.0,11.5,12.75,9.75,12.75,11.5,10.4,12.833333333333334,12.25,12.0,12.25,11.333333333333334,12.0,12.75
Guillem Molina,67260507.0,13.0,10.333333333333334,14.0,10.75,9.5,11.166666666666666,6.625,12.0,10.75,6.5,10.5,11.25,10.5,12.166666666666666,14.5,12.0,8.25,8.166666666666666,12.0,9.75
Toni Herrero,67277687.0,11.0,12.666666666666666,10.0,13.5,12.5,13.333333333333334,12.5,12.5,13.5,13.0,13.5,12.75,12.6,13.333333333333334,13.25,13.333333333333334,12.5,12.666666666666666,11.5,13.0
Rami Hajal,93099931.0,12.0,12.833333333333334,11.0,8.0,13.5,14.5,12.125,13.0,8.0,13.5,11.0,10.875,13.9,7.0,13.375,12.833333333333334,11.0,12.666666666666666,12.0,8.0
Óscar Melendo,67214687.0,6.0,14.333333333333334,7.0,12.0,14.5,14.166666666666666,14.125,13.5,12.0,14.5,12.75,11.125,14.3,9.5,14.5,13.666666666666666,14.5,14.333333333333334,12.0,10.0
Francisco Conceição,83261140.0,5.0,10.833333333333334,7.0,11.0,15.25,14.0,14.0,10.25,11.0,15.5,12.25,14.375,12.6,8.666666666666666,13.5,10.666666666666666,13.5,14.333333333333334,11.25,9.25
David,2000441683.0,9.0,13.666666666666666,11.0,13.75,12.5,12.5,13.0,14.25,13.75,15.0,11.25,10.25,13.3,11.0,14.875,13.5,14.5,14.833333333333334,13.25,9.75
Matías Vargas,14141967.0,5.0,14.0,6.0,14.25,15.5,13.833333333333334,15.625,12.75,14.25,15.5,13.75,13.75,14.1,10.833333333333334,14.5,12.833333333333334,15.75,15.833333333333334,11.5,10.25
0,29236380.0,14.0,11.0,9.0,11.5,11.0,12.333333333333334,11.25,12.5,11.5,13.5,12.0,13.25,11.8,10.333333333333334,15.75,12.0,14.5,12.666666666666666,13.0,11.5
Lucas Forsberg,93141098.0,15.0,12.0,6.0,11.5,10.5,10.166666666666666,10.5,11.75,11.5,8.5,12.25,11.0,10.7,11.666666666666666,14.375,12.166666666666666,11.0,11.166666666666666,11.25,11.0
Cezary Miszta,96122113.0,18.5,10.5,6.0,12.5,10.75,10.666666666666666,9.625,11.5,12.5,7.25,13.5,11.5,9.8,9.166666666666666,11.0,12.5,9.0,12.166666666666666,9.5,6.0
Tymoteusz Puchacz,96086694.0,12.0,11.5,11.0,11.25,10.75,11.666666666666666,12.0,12.25,11.25,9.5,11.75,14.25,11.8,10.833333333333334,15.25,11.666666666666666,11.5,11.333333333333334,14.75,11.25
Oier Zarraga,67260201.0,7.0,13.5,14.0,12.75,13.0,13.0,12.25,13.25,12.75,12.0,12.0,14.875,13.3,11.833333333333334,13.625,13.166666666666666,12.5,13.0,12.75,12.25
Jorge De Frutos,67231100.0,6.0,12.5,7.0,9.75,11.75,12.666666666666666,12.25,12.25,9.75,12.0,12.75,12.625,12.6,8.5,13.875,12.333333333333334,14.0,12.166666666666666,10.5,10.75
Chumi,95036003.0,14.0,11.666666666666666,13.0,13.0,11.5,11.333333333333334,9.75,12.0,13.0,8.25,12.5,13.375,11.2,13.0,11.75,12.333333333333334,8.25,11.333333333333334,12.75,12.5
Brais Méndez,67199158.0,10.0,13.333333333333334,9.0,11.5,16.0,14.333333333333334,15.125,15.5,11.5,13.5,11.75,10.25,14.2,9.166666666666666,12.25,14.333333333333334,14.5,15.0,9.0,10.25
Miguel Menino,83320117.0,9.0,12.666666666666666,11.0,12.25,13.5,13.5,13.875,12.25,12.25,15.0,12.25,12.125,12.7,10.833333333333334,14.25,13.166666666666666,14.25,13.833333333333334,13.0,11.25
Carlos,2000202592.0,13.0,11.166666666666666,9.0,13.75,8.0,13.333333333333334,9.0,11.75,13.75,8.0,12.75,11.25,12.0,13.5,13.75,12.333333333333334,11.0,10.5,13.25,14.75
Noé Blasco,2000440885.0,10.0,13.333333333333334,8.0,8.0,14.0,12.333333333333334,13.75,12.0,8.0,15.5,8.5,10.75,12.8,8.0,14.25,12.333333333333334,11.0,13.333333333333334,11.0,7.5
Josep,2000513274.0,10.0,11.333333333333334,8.0,11.25,8.5,11.833333333333334,9.625,13.5,11.25,10.5,10.5,12.75,11.5,11.833333333333334,15.5,13.0,10.75,10.166666666666666,15.0,11.25
Isak Amundsen,53178292.0,14.0,12.333333333333334,13.0,12.0,11.5,11.833333333333334,10.875,13.0,12.0,10.0,12.75,13.5,11.5,12.666666666666666,13.5,13.666666666666666,8.5,11.333333333333334,15.5,12.0
José Luis Ruano,2000572819.0,10.0,9.333333333333334,12.0,9.0,13.75,12.5,11.625,10.0,9.0,14.75,8.5,10.875,10.9,10.0,15.25,10.333333333333334,9.0,12.166666666666666,11.0,5.75
