Player,UID,CD,BPD,NNCB,Lib
Pedro Javier López,2000202554.0,12.4,11.95,12.25,11.35
Nikola Colic,2000212623.0,16.85,16.1,15.95,15.95
Ramón Santos,2000440896.0,15.75,14.45,14.9,14.75
Xabier Gourgues,2000663362.0,13.7,12.7,13.5,11.3
Manu Sánchez,67284340.0,15.5,15.65,15.65,15.8
Jon Moncayola,67267210.0,16.45,14.95,16.45,14.65
Pierre Kunde,67211690.0,15.65,13.95,16.7,14.45
Mohamed Cissé,2000565877.0,10.1,10.2,10.4,10.8
Bart Ramselaar,37045888.0,14.45,14.3,13.7,17.75
Yann Karamoh,85144982.0,10.4,10.65,10.1,12.6
Roberto,2000440887.0,11.15,11.7,10.5,15.3
Uğur Özbay,2000432893.0,11.8,11.5,11.4,10.6
Silvan Hefti,98038279.0,15.9,15.3,16.2,15.4
Alberto Leon Fernández,2000631656.0,10.25,10.1,10.0,12.1
Eugenio,2000632614.0,10.75,10.65,9.85,11.35
Carlos Abraham,2000440884.0,15.7,14.8,14.2,15.65
Gaizka Larrazabal,67256616.0,13.65,13.1,13.65,15.4
Mama Baldé,55070279.0,12.0,11.35,12.05,14.05
Santi Comesaña,67224142.0,16.4,15.5,16.2,15.25
Javi Martínez,67249495.0,13.25,13.3,12.35,16.15
Juan Artola,67260216.0,11.9,12.75,11.55,15.75
Julio Villalba,79028819.0,12.9,11.45,13.35,13.65
Álvaro García,89062864.0,13.65,14.7,14.25,15.7
Samy Chouchane,2000010841.0,13.45,13.65,14.2,14.0
Alex Hernando,2000197164.0,13.3,9.9,11.8,8.7
José Alberto Nieto,2000197171.0,12.15,12.8,12.0,16.45
Jordi,2000513013.0,15.9,15.15,15.65,16.15
Laure,2000631655.0,12.85,12.0,12.25,14.6
