Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Pedro Javier López,2000202554.0,1128.5,1189.0,1391.0,1126.5,1271.0,1126.0,1292.0,1258.5,1284.5,1434.0
Nikola Colic,2000212623.0,1202.5,1441.0,1642.0,1399.5,1583.5,1404.0,1618.5,1583.0,1563.0,1758.0
Ramón Santos,2000440896.0,1205.5,1422.0,1622.0,1381.0,1559.0,1394.5,1601.0,1593.5,1578.5,1744.5
Xabier Gourgues,2000663362.0,847.0,1025.0,1247.0,977.0,1118.0,971.0,1121.0,1101.0,1099.0,1323.0
Manu Sánchez,67284340.0,1158.0,1405.0,1585.5,1377.0,1566.5,1407.5,1623.0,1585.5,1587.0,1810.5
Jon Moncayola,67267210.0,1130.0,1354.0,1589.5,1310.0,1500.0,1341.0,1529.5,1503.0,1499.5,1753.0
Pierre Kunde,67211690.0,1104.0,1320.5,1549.5,1287.0,1473.0,1325.5,1529.0,1488.5,1491.0,1781.5
Mohamed Cissé,2000565877.0,823.0,1040.0,1158.0,1049.0,1143.0,1108.0,1221.0,1263.0,1227.0,1473.0
Bart Ramselaar,37045888.0,1101.0,1351.0,1518.5,1341.5,1539.0,1410.0,1631.5,1564.0,1582.5,1788.0
Yann Karamoh,85144982.0,903.0,1108.5,1217.0,1134.5,1247.0,1244.5,1356.0,1387.0,1383.5,1650.0
Roberto,2000440887.0,994.0,1288.0,1387.0,1327.5,1501.5,1424.5,1626.5,1598.0,1635.5,1916.0
Uğur Özbay,2000432893.0,787.0,987.0,1184.0,945.0,1098.0,938.0,1111.0,1050.0,1057.0,1210.0
Silvan Hefti,98038279.0,1141.0,1405.0,1587.0,1385.0,1555.0,1420.0,1625.0,1593.5,1573.5,1782.5
Alberto Leon Fernández,2000631656.0,904.0,1130.5,1244.0,1137.5,1250.5,1207.5,1336.5,1381.0,1348.5,1563.5
Eugenio,2000632614.0,849.0,1036.5,1178.5,1034.5,1159.5,1079.0,1206.0,1220.0,1196.5,1390.5
Carlos Abraham,2000440884.0,1202.5,1408.0,1611.5,1370.0,1582.5,1381.5,1631.5,1550.0,1561.0,1737.5
Gaizka Larrazabal,67256616.0,1071.5,1288.0,1463.5,1275.5,1455.5,1332.0,1544.5,1481.0,1496.5,1701.0
Mama Baldé,55070279.0,894.5,1136.5,1274.0,1140.0,1297.5,1201.0,1379.5,1343.5,1347.5,1525.5
Santi Comesaña,67224142.0,1085.5,1302.5,1592.0,1256.0,1444.0,1292.0,1485.5,1452.0,1440.0,1744.5
Javi Martínez,67249495.0,1063.5,1269.0,1428.0,1243.0,1475.5,1301.0,1547.5,1429.0,1494.5,1656.0
Juan Artola,67260216.0,899.5,1175.0,1349.0,1174.5,1368.5,1233.0,1420.0,1380.5,1385.0,1577.0
Julio Villalba,79028819.0,1053.5,1207.0,1320.5,1194.5,1371.5,1296.0,1502.0,1421.5,1467.5,1704.0
Álvaro García,89062864.0,1052.5,1250.5,1474.5,1202.0,1411.0,1225.0,1452.5,1359.0,1389.0,1525.0
Samy Chouchane,2000010841.0,1038.5,1280.0,1492.0,1248.0,1426.5,1265.0,1452.0,1432.0,1410.5,1610.5
Alex Hernando,2000197164.0,1027.5,1039.5,1204.5,985.5,1092.0,964.5,1115.5,1106.5,1098.0,1209.0
José Alberto Nieto,2000197171.0,1058.5,1311.0,1476.0,1301.0,1544.5,1384.0,1640.0,1546.5,1594.0,1814.5
Jordi,2000513013.0,1181.5,1418.5,1631.5,1382.0,1562.0,1390.5,1604.5,1574.5,1571.5,1749.5
Laure,2000631655.0,1087.0,1299.0,1450.0,1268.0,1486.0,1328.0,1590.5,1481.0,1509.0,1634.0
