Player,UID,Position
Pedro Javier López,2000202554,GK
Nikola Colic,2000212623,D (RC)
Ramón Santos,2000440896,"D (RC), DM"
Xabier Gourgues,2000663362,D (C)
Manu Sánchez,67284340,D/WB (L)
Jon Moncayola,67267210,"DM, M (C)"
Pierre Kunde,67211690,"DM, M/AM (C)"
Mohamed Cissé,2000565877,"AM (R), ST (C)"
Bart Ramselaar,37045888,"M (RLC), AM (LC)"
Yann Karamoh,85144982,"M/AM (RL), ST (C)"
Roberto,2000440887,"AM (RC), ST (C)"
Uğur Özbay,2000432893,"D/WB (L), DM, M (C)"
Silvan Hefti,98038279,D (RC)
Alberto Leon Fernández,2000631656,"M/AM (R), ST (C)"
Eugenio,2000632614,"M/AM (R), ST (C)"
Carlos Abraham,2000440884,"D (RC), DM, M (C)"
Gaizka Larrazabal,67256616,M/AM (R)
Mama Baldé,55070279,"D/M (R), AM (RL), ST (C)"
Santi Comesaña,67224142,"D (C), DM, M (C)"
Javi Martínez,67249495,"DM, M/AM (C)"
Juan Artola,67260216,"M/AM (RLC), ST (C)"
Julio Villalba,79028819,"AM (RC), ST (C)"
Álvaro García,89062864,"D (C), DM, M (C)"
Samy Chouchane,2000010841,"DM, M (C)"
Alex Hernando,2000197164,GK
José Alberto Nieto,2000197171,M/AM (LC)
Jordi,2000513013,"D (LC), WB (L)"
Laure,2000631655,M/AM (C)
