Player,UID,WM,W,DW,IW,IF,WG
0,35017428.0,8.4,7.4,10.3,11.0,9.9,8.08
Noël Roux,2000188122.0,13.55,15.6,13.35,13.85,13.2,14.25
Ronald Araújo,78085068.0,12.3,11.7,14.3,12.8,12.2,12.5
Alessandro Bastoni,43252460.0,14.0,14.3,14.5,14.25,13.5,14.58
Juan Vela,2000489085.0,16.15,17.6,17.25,16.05,15.6,17.25
Florentino Luís,83169817.0,14.0,13.1,15.4,14.2,13.7,13.0
Vítor Ferreira,83174762.0,14.4,14.4,13.7,15.9,15.2,13.0
Jonay Morán,2000194461.0,14.2,14.4,13.2,15.7,14.9,13.83
Péricles,2000410450.0,12.4,14.2,9.9,13.6,14.0,13.75
Pierre Fournier,2000435814.0,12.7,14.2,10.9,14.4,14.0,13.5
Radovan Drakulić,2000211170.0,13.4,14.5,11.5,15.1,14.8,14.75
Diego Laínez,51063318.0,14.1,15.6,12.3,15.4,14.8,14.0
Pau Torres,67217522.0,12.3,10.3,14.4,12.6,12.1,11.33
Ilaix Moriba,67279753.0,15.25,14.8,14.5,17.45,17.05,14.58
Phil Foden,28108494.0,15.0,15.4,13.2,16.4,16.0,14.17
Benoît Badiashile,49038942.0,14.2,15.8,15.3,15.3,14.45,16.0
Harry Kane,28049320.0,14.7,13.3,14.2,15.4,15.5,13.08
Gabriel Jesus,19220266.0,13.3,14.2,11.8,14.7,14.8,13.67
Rodrygo,19306929.0,17.75,18.15,14.8,19.45,20.4,16.71
Dejan Kulusevski,43295814.0,14.7,15.1,13.4,16.2,15.8,14.42
Rayan Cherki,49056279.0,13.2,14.4,10.7,14.8,14.6,13.5
Unai Simón,67200923.0,8.4,7.9,9.9,11.2,9.8,8.83
Sergio Reguilón,67211900.0,20.35,20.95,19.15,20.9,20.5,18.96
Tomás Esteves,83228786.0,14.85,16.25,13.95,15.45,14.4,15.54
Sergi Ruiz,2000155987.0,0.0,0.0,0.0,0.0,0.0,0.0
Franck Lacroix,2000192663.0,17.05,19.5,14.25,20.05,20.7,18.33
Gennady Korshunov,2000238109.0,15.05,17.05,12.45,18.25,18.8,16.46
Joan Planchart,2000509911.0,14.05,16.3,15.25,15.0,14.6,15.08
