Player,UID,AMC,AP,T,SS,AM,EG
0,35017428.0,12.0,11.0,12.0,9.9,11.0,10.0
Noël Roux,2000188122.0,13.95,14.5,13.95,13.2,13.85,14.9
Ronald Araújo,78085068.0,13.3,12.6,13.3,12.2,12.8,12.1
Alessandro Bastoni,43252460.0,14.85,14.95,14.85,13.5,14.25,14.35
Juan Vela,2000489085.0,17.2,16.3,17.2,15.6,16.05,16.0
Florentino Luís,83169817.0,14.7,14.0,14.7,13.7,14.2,13.5
Vítor Ferreira,83174762.0,15.7,15.6,15.7,15.2,15.9,15.6
Jonay Morán,2000194461.0,15.2,15.4,15.2,14.9,15.7,15.6
Péricles,2000410450.0,12.8,13.4,12.8,14.0,13.6,14.0
Pierre Fournier,2000435814.0,13.9,14.3,13.9,14.0,14.4,14.8
Radovan Drakulić,2000211170.0,14.3,14.3,14.3,14.8,15.1,15.2
Diego Laínez,51063318.0,14.9,15.0,14.9,14.8,15.4,15.8
Pau Torres,67217522.0,12.9,11.7,12.9,12.1,12.6,10.7
Ilaix Moriba,67279753.0,16.5,16.65,16.5,17.05,17.45,16.2
Phil Foden,28108494.0,16.2,16.3,16.2,16.0,16.4,16.6
Benoît Badiashile,49038942.0,16.35,15.9,16.35,14.45,15.3,16.5
Harry Kane,28049320.0,15.8,15.8,15.8,15.5,15.4,14.7
Gabriel Jesus,19220266.0,14.7,14.9,14.7,14.8,14.7,15.0
Rodrygo,19306929.0,18.9,19.05,18.9,20.4,19.45,19.75
Dejan Kulusevski,43295814.0,15.6,15.8,15.6,15.8,16.2,16.1
Rayan Cherki,49056279.0,14.0,14.5,14.0,14.6,14.8,15.2
Unai Simón,67200923.0,12.0,10.8,12.0,9.8,11.2,9.2
Sergio Reguilón,67211900.0,21.1,20.8,21.1,20.5,20.9,20.55
Tomás Esteves,83228786.0,15.65,16.05,15.65,14.4,15.45,16.15
Sergi Ruiz,2000155987.0,0.0,0.0,0.0,0.0,0.0,0.0
Franck Lacroix,2000192663.0,17.85,18.75,17.85,20.7,20.05,20.75
Gennady Korshunov,2000238109.0,16.55,17.6,16.55,18.8,18.25,19.3
Joan Planchart,2000509911.0,16.05,16.05,16.05,14.6,15.0,16.45
