Player,UID,Acc,Agi,Pac,Wor,Jum,Fir,Dri,Cmp,Sta,Pos,Cnt,Fre,Cor,Fin,OtB,Pas,Tec,Ant,Dec,Lon,Fla,Tck,Hea,Agg,Bra,Bal,Str,Det,Mar,Vis,Tea,Cro,Ldr,Nat,L Th,Pen,Aer,Cmd,Com,Ecc,Han,Kic,Pun,1v1,Ref,TRO,Thr,Age
0,35017428.0,8.0,8.0,6.0,13.0,16.0,13.0,2.0,18.0,8.0,13.0,15.0,9.0,7.0,1.0,1.0,17.0,14.0,17.0,13.0,1.0,5.0,1.0,7.0,11.0,15.0,15.0,10.0,18.0,3.0,12.0,14.0,2.0,14.0,15.0,1.0,3.0,13.0,15.0,15.0,12.0,13.0,19.0,10.0,17.0,19.0,18.0,19.0,36.0
Noël Roux,2000188122.0,19.0,18.0,16.0,11.0,6.0,14.0,12.0,11.0,14.0,13.0,15.0,10.0,10.0,13.0,16.0,11.0,13.0,14.0,14.0,15.0,20.5,14.0,9.0,11.0,14.0,18.0,13.0,14.0,12.0,19.5,12.0,17.5,10.0,16.0,5.5,11.5,2.5,3.0,2.0,5.5,4.0,2.0,3.0,4.0,4.0,2.0,4.0,23.0
Ronald Araújo,78085068.0,13.0,12.0,16.0,15.0,17.0,14.0,10.0,15.0,15.0,16.0,16.0,10.0,2.0,6.0,6.0,14.0,13.0,16.0,13.0,11.0,9.0,16.0,16.0,9.0,16.0,13.0,15.0,14.0,15.0,12.0,15.0,5.0,18.0,14.0,6.0,13.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,29.0
Alessandro Bastoni,43252460.0,13.0,16.0,15.0,13.0,17.0,13.0,10.0,16.0,15.0,15.0,15.0,8.5,5.5,10.0,16.0,14.0,13.0,15.0,16.0,4.5,16.0,14.0,15.0,14.0,14.0,16.0,15.0,15.0,15.0,17.5,16.0,13.0,13.0,16.0,10.5,10.0,5.5,3.0,6.0,2.0,4.0,2.0,3.0,2.5,2.5,2.5,2.5,29.0
Juan Vela,2000489085.0,21.0,22.5,21.5,15.0,16.0,13.0,12.0,21.0,21.0,14.0,23.0,6.5,8.0,9.5,16.5,18.0,13.5,19.5,18.0,12.0,14.0,16.0,15.0,21.0,12.5,23.0,14.0,16.0,14.0,14.0,20.0,12.0,10.5,19.5,13.5,9.0,5.0,3.0,4.5,3.0,2.5,2.5,2.5,5.0,2.0,3.5,6.0,22.0
Florentino Luís,83169817.0,12.0,15.0,13.0,15.0,14.0,14.0,12.0,16.0,16.0,17.0,18.0,5.0,4.0,8.0,12.0,14.0,13.0,18.0,15.0,9.0,11.0,17.0,11.0,14.0,15.0,15.0,13.0,14.0,14.0,13.0,17.0,8.0,11.0,17.0,5.0,10.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,29.0
Vítor Ferreira,83174762.0,15.0,17.0,15.0,15.0,4.0,16.0,15.0,17.0,14.0,14.0,14.0,8.0,10.0,11.0,16.0,16.0,17.0,16.0,16.0,12.0,13.0,11.0,8.0,12.0,14.0,16.0,11.0,15.0,12.0,18.0,15.0,10.0,14.0,16.0,9.0,11.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,28.0
Jonay Morán,2000194461.0,15.0,14.0,15.0,14.0,9.0,17.0,13.0,14.0,16.0,12.0,11.0,10.0,10.0,10.0,17.0,16.0,15.0,15.0,16.0,13.0,13.0,9.0,13.0,11.0,10.0,17.0,11.0,16.0,15.0,18.0,12.0,12.0,15.0,16.0,5.0,7.0,4.0,2.5,4.0,3.0,4.5,2.5,2.5,2.5,5.5,2.5,2.0,23.0
Péricles,2000410450.0,17.0,17.0,15.0,10.0,13.0,14.0,16.0,14.0,14.0,7.0,9.0,9.0,7.0,16.0,14.0,12.0,16.0,15.0,13.0,10.0,15.0,7.0,10.0,12.0,8.0,17.0,10.0,12.0,1.0,12.0,14.0,10.0,15.0,17.0,6.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,22.0
Pierre Fournier,2000435814.0,17.0,16.0,18.0,12.0,7.0,18.0,15.0,15.0,13.0,10.0,12.0,11.0,8.0,10.0,14.0,14.0,17.0,13.0,14.0,12.0,16.0,5.0,13.0,5.0,10.0,15.0,10.0,17.0,8.0,14.0,11.0,11.0,11.0,14.0,4.0,7.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,22.0
Radovan Drakulić,2000211170.0,16.0,16.0,16.0,13.0,15.0,17.0,17.0,17.0,15.0,11.0,13.0,9.0,8.0,11.0,15.0,14.0,15.0,16.0,15.0,17.0,13.0,7.0,17.0,9.0,10.0,19.0,18.0,15.0,5.0,14.0,12.0,9.0,8.0,13.0,9.0,12.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,23.0
Diego Laínez,51063318.0,16.0,18.0,15.0,16.0,5.0,14.0,17.0,15.0,17.0,8.0,15.0,13.0,12.0,9.0,17.0,14.0,16.0,15.0,13.0,10.0,16.0,7.0,7.0,8.0,14.0,16.0,10.0,16.0,5.0,15.0,12.0,14.0,11.0,16.0,9.0,11.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,28.0
Pau Torres,67217522.0,13.0,12.0,14.0,13.0,17.0,14.0,10.0,12.0,15.0,17.0,17.0,5.0,9.0,6.0,6.0,14.0,12.0,16.0,15.0,7.0,5.0,16.0,16.0,13.0,14.0,7.0,15.0,13.0,16.0,11.0,12.0,8.0,9.0,14.0,8.0,8.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,31.0
Ilaix Moriba,67279753.0,15.0,17.0,16.0,12.0,15.0,17.0,16.0,20.5,15.0,13.0,16.5,20.5,13.5,13.0,19.0,16.0,17.0,22.0,23.5,16.0,18.0,12.0,12.0,13.0,15.0,15.0,14.0,15.0,16.5,17.0,12.0,10.0,14.0,16.0,4.0,19.0,2.0,2.0,4.0,2.0,4.5,2.5,4.0,2.0,4.0,4.0,2.0,25.0
Phil Foden,28108494.0,16.0,19.0,15.0,14.0,6.0,18.0,17.0,15.0,14.0,10.0,16.0,16.0,13.0,14.0,18.0,17.0,17.0,15.0,16.0,13.0,17.0,9.0,10.0,7.0,13.0,16.0,11.0,15.0,10.0,18.0,14.0,13.0,11.0,14.0,6.0,12.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,28.0
Benoît Badiashile,49038942.0,14.0,19.5,16.0,13.0,18.0,12.0,13.5,20.5,23.5,14.0,20.5,7.5,5.5,9.0,12.0,13.0,20.5,14.0,14.0,11.5,16.0,15.0,16.0,10.0,22.5,24.0,16.0,14.0,14.0,17.5,17.5,8.5,20.5,23.5,11.5,10.5,2.0,5.5,2.0,2.0,2.5,2.5,4.0,4.0,4.5,2.0,2.0,27.0
Harry Kane,28049320.0,11.0,8.0,8.0,18.0,11.0,15.0,10.0,19.0,11.0,11.0,14.0,10.0,9.0,19.0,16.0,17.0,16.0,17.0,16.0,14.0,14.0,11.0,13.0,11.0,16.0,12.0,10.0,19.0,10.0,18.0,17.0,16.0,15.0,17.0,4.0,19.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,35.0
Gabriel Jesus,19220266.0,15.0,16.0,14.0,16.0,9.0,15.0,14.0,15.0,13.0,8.0,14.0,11.0,7.0,15.0,16.0,15.0,17.0,14.0,13.0,11.0,16.0,7.0,13.0,12.0,13.0,14.0,11.0,13.0,7.0,14.0,14.0,10.0,8.0,15.0,6.0,14.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,31.0
