Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Diego Aizpurua,2000193388.0,966.5,1092.5,1222.5,1070.5,1181.5,1069.0,1246.5,1195.0,1243.0,1355.5
Asier Grande,2000048078.0,1062.5,1298.0,1415.5,1283.0,1433.0,1314.0,1477.0,1484.0,1470.0,1614.5
Unai Núñez,67214595.0,1030.0,1178.5,1425.5,1099.0,1308.5,1113.0,1318.0,1230.0,1258.0,1467.0
Josema,2000682315.0,1295.0,1530.0,1717.0,1483.5,1729.0,1536.5,1802.5,1725.5,1747.5,1915.0
Oier López,67277836.0,1201.5,1421.0,1624.5,1382.5,1593.5,1415.0,1624.0,1598.5,1598.5,1775.0
Unai Vencedor,67260207.0,1255.5,1475.5,1723.0,1441.5,1644.5,1478.0,1678.0,1674.0,1652.0,1910.0
Íñigo Herrera,2000510687.0,774.0,1013.0,1108.0,1031.0,1123.0,1100.0,1212.0,1253.0,1214.0,1399.0
Mikel Garai,2000438623.0,1106.0,1378.0,1576.5,1359.0,1548.5,1424.0,1620.5,1584.0,1579.5,1888.5
Fran Alonso,2000570282.0,869.5,1091.5,1253.0,1084.5,1216.5,1133.0,1296.0,1284.0,1276.5,1492.5
Carlos Bidaurrázaga,2000573859.0,824.0,1065.0,1202.0,1067.0,1193.0,1141.0,1281.0,1288.0,1266.0,1535.0
Romain Bertrand,2000438620.0,1187.5,1358.5,1639.0,1297.5,1525.5,1339.5,1563.5,1477.5,1515.0,1815.0
Yeray,67192475.0,1049.0,1241.0,1444.0,1189.0,1355.5,1213.5,1382.5,1340.5,1334.0,1523.0
Oihan Sancet,67260204.0,1155.5,1338.0,1607.5,1282.5,1499.5,1307.5,1537.0,1451.5,1491.0,1756.5
Ander Guevara,67246381.0,1159.5,1400.0,1697.0,1338.0,1596.5,1378.5,1650.0,1527.5,1563.0,1808.0
Javier Arrue,2000438617.0,751.0,962.0,1070.0,980.0,1053.0,1059.0,1172.0,1205.0,1186.0,1429.0
Javier Karanka,2000193733.0,891.0,1183.5,1259.5,1220.5,1354.0,1315.5,1484.0,1473.5,1447.0,1613.5
Aimar Oroz,67276375.0,1070.0,1302.0,1452.0,1300.0,1521.5,1382.0,1630.5,1527.5,1570.5,1679.0
Jon Magunazelaia,2000438619.0,1004.5,1256.5,1365.0,1269.0,1470.0,1363.5,1604.5,1510.0,1552.0,1731.5
Íñigo Merino,2000442705.0,1149.0,1329.0,1560.0,1282.0,1465.5,1301.0,1492.0,1452.0,1442.5,1611.0
Julen Letamendia,2000570277.0,947.0,1144.0,1349.0,1104.0,1292.0,1132.0,1287.0,1268.0,1246.0,1436.0
