Player,UID,Position
Diego Aizpurua,2000193388,GK
Asier Grande,2000048078,D/WB (R)
Unai Núñez,67214595,D (RC)
Josema,2000682315,"D (C), DM"
Oier López,67277836,D/WB (L)
Unai Vencedor,67260207,"D (C), DM, M (C)"
Íñigo Herrera,2000510687,"M (LC), AM (RL)"
Mikel Garai,2000438623,"AM (RC), ST (C)"
Fran Alonso,2000570282,M/AM (RC)
Carlos Bidaurrázaga,2000573859,"M (R), AM (RL), ST (C)"
Romain Bertrand,2000438620,"M (C), AM (R), ST (C)"
Yeray,67192475,D (RC)
Oihan Sancet,67260204,M/AM (C)
Ander Guevara,67246381,"DM, M (C)"
Javier Arrue,2000438617,"AM (R), ST (C)"
Javier Karanka,2000193733,"M (RC), AM (RL)"
Aimar Oroz,67276375,"M (LC), AM (RLC)"
Jon Magunazelaia,2000438619,"M/AM (LC), ST (C)"
Íñigo Merino,2000442705,"D (LC), DM"
Julen Letamendia,2000570277,"D (RL), WB (L), DM"
