Player,UID,AMC,AP,T,SS,AM,EG
Diego Aizpurua,2000193388.0,13.6,12.5,13.6,11.45,12.45,11.55
Asier Grande,2000048078.0,16.4,16.1,16.4,14.3,15.25,16.25
Unai Núñez,67214595.0,13.25,12.2,13.25,11.5,11.75,11.75
Josema,2000682315.0,20.3,19.4,20.3,18.85,19.95,18.75
Oier López,67277836.0,17.05,16.45,17.05,16.0,17.15,16.05
Unai Vencedor,67260207.0,15.6,14.8,15.6,16.45,16.4,15.55
Íñigo Herrera,2000510687.0,12.3,12.1,12.3,12.6,12.9,13.1
Mikel Garai,2000438623.0,17.4,18.15,17.4,18.35,18.1,17.85
Fran Alonso,2000570282.0,13.95,13.7,13.95,13.7,14.0,13.9
Carlos Bidaurrázaga,2000573859.0,13.1,13.3,13.1,14.4,13.8,13.6
Romain Bertrand,2000438620.0,16.1,16.05,16.1,16.3,16.1,15.9
Yeray,67192475.0,15.4,14.2,15.4,13.0,13.4,13.3
Oihan Sancet,67260204.0,16.0,15.9,16.0,15.3,15.7,14.9
Ander Guevara,67246381.0,18.15,17.15,18.15,17.95,18.1,16.9
Javier Arrue,2000438617.0,11.9,13.0,11.9,12.6,13.0,13.7
Javier Karanka,2000193733.0,16.65,18.15,16.65,16.5,16.85,18.4
Aimar Oroz,67276375.0,19.25,19.7,19.25,18.25,19.35,19.45
Jon Magunazelaia,2000438619.0,18.95,20.0,18.95,18.45,19.2,19.45
Íñigo Merino,2000442705.0,16.35,15.9,16.35,13.75,14.95,13.95
Julen Letamendia,2000570277.0,12.8,12.4,12.8,13.0,13.0,12.5
