Player,UID,AF,CF,DLF,F9,P,PF,TM
Diego Aizpurua,2000193388.0,12.05,10.9,14.15,11.4,12.05,11.65,11.2
Asier Grande,2000048078.0,16.3,12.8,14.6,14.8,16.3,14.5,12.35
Unai Núñez,67214595.0,13.3,11.85,13.3,11.55,13.3,12.65,12.75
Josema,2000682315.0,18.75,16.8,18.35,18.55,18.75,17.15,15.95
Oier López,67277836.0,17.4,14.45,16.55,16.3,17.4,16.45,13.7
Unai Vencedor,67260207.0,19.5,15.2,17.25,16.7,19.5,16.1,15.1
Íñigo Herrera,2000510687.0,14.0,11.9,12.7,13.2,14.0,12.5,11.6
Mikel Garai,2000438623.0,19.15,16.75,18.6,17.95,19.15,17.0,17.15
Fran Alonso,2000570282.0,13.9,13.6,13.4,13.3,13.9,13.3,12.9
Carlos Bidaurrázaga,2000573859.0,15.6,13.2,13.6,13.4,15.6,14.3,13.0
Romain Bertrand,2000438620.0,17.6,15.35,18.4,17.25,17.6,14.65,17.25
Yeray,67192475.0,13.5,12.65,13.95,13.25,13.5,13.25,12.7
Oihan Sancet,67260204.0,16.65,14.85,17.1,15.4,16.65,14.9,15.5
Ander Guevara,67246381.0,16.65,16.4,16.75,16.65,16.65,16.45,15.85
Javier Arrue,2000438617.0,13.4,12.7,13.5,13.2,13.4,11.7,12.6
Javier Karanka,2000193733.0,16.2,14.75,15.85,17.05,16.2,15.45,15.1
Aimar Oroz,67276375.0,15.4,16.1,17.65,18.7,15.4,13.95,13.05
Jon Magunazelaia,2000438619.0,17.7,16.8,18.3,18.2,17.7,16.4,16.4
Íñigo Merino,2000442705.0,13.5,13.95,16.4,15.15,13.5,15.85,14.95
Julen Letamendia,2000570277.0,13.7,12.2,13.2,13.6,13.7,13.1,12.2
