Player,UID,AF,CF,DLF,F9,P,PF,TM
Gaizka Casado,2000629746,11.5,12.8,13.2,12.9,11.5,10.6,12.0
Diego Le Coz,2000566166,11.0,11.0,12.8,12.9,11.0,10.3,10.1
Pablo Pérez,2000511072,11.2,9.6,10.7,10.4,11.2,10.6,10.0
Cédric Basile,2000506654,11.2,10.6,11.6,10.7,11.2,11.6,10.7
Michele Faraone,2000439673,11.9,10.1,11.5,11.2,11.9,11.4,9.8
Roberto Aizpurua,2000439253,11.5,9.9,11.0,10.4,11.5,10.7,10.8
Pavel Sedlacek,2000567549,11.5,10.9,10.6,9.6,11.5,11.0,10.2
Adriano Ferazzoli,2000506119,11.8,12.0,12.8,12.0,11.8,11.3,11.6
Jason Faltermeier,2000435779,11.9,12.2,13.8,12.8,11.9,11.9,12.5
Nacer Brahimi,2000199524,9.5,8.7,10.5,9.4,9.5,9.7,9.7
Moussa Aboua,2000188777,11.4,11.4,12.2,11.5,11.4,11.4,10.9
Álejandro Gándara,2000737996,12.2,10.0,10.1,10.6,12.2,11.8,9.7
Vladimir Weber,2000709956,11.4,10.9,11.8,10.8,11.4,11.7,11.2
Lukas Majernik,2000709581,12.8,11.9,12.7,13.2,12.8,11.4,11.2
José Ángel Mansilla,2000631647,10.6,10.0,11.0,10.2,10.6,10.5,9.6
Frédéric Pelletier,2000573450,11.6,9.6,11.5,12.0,11.6,9.9,9.6
Pepe Martí,2000509918,9.7,10.4,10.8,10.0,9.7,10.2,10.7
Sebastian Stefansen,2000506681,12.2,9.9,10.3,9.9,12.2,11.0,10.1
Jonay,2000570836,10.1,10.1,11.2,10.1,10.1,11.1,10.7
Erik Kurdov,2000566868,8.9,7.9,8.5,7.2,8.9,10.9,8.8
Hervé Alves,2000566859,12.7,10.0,10.6,10.9,12.7,11.5,9.4
Cédric Picard,2000566055,9.0,8.4,8.8,7.5,9.0,10.1,9.1
Diego Sarriegi,2000439257,11.5,10.5,10.7,11.1,11.5,9.8,10.0
Juraj Horvath,2000189395,10.9,11.1,11.6,11.7,10.9,10.4,11.0
William Christoffersen,2000659946,8.4,6.9,8.8,7.3,8.4,7.9,7.7
Evangelos Alexopoulos,2000658599,11.4,9.2,9.5,10.4,11.4,10.8,8.8
Asgeir Granås,2000657174,9.6,8.0,9.4,8.7,9.6,9.4,8.9
Aitor Morcillo,2000631374,10.4,9.5,10.1,9.8,10.4,11.6,10.3
Juan Manuel,2000629223,7.8,6.4,8.0,7.0,7.8,7.6,6.7
Ruymán,2000442664,11.5,10.9,10.9,10.8,11.5,11.7,11.0
Iñaki Vélez,2000439250,9.7,8.7,9.0,8.0,9.7,10.6,10.0
Ramazan Cengiz,2000435409,11.6,9.5,10.3,10.5,11.6,10.2,9.3
Héctor Otiniano,2000647504,10.2,9.9,10.7,10.8,10.2,11.1,9.4
Jorge,2000571911,10.6,10.8,11.4,10.6,10.6,11.2,10.7
Armando D'Amato,2000567834,9.6,9.8,9.8,9.3,9.6,10.4,10.0
Cláudio Mendes,2000565719,8.3,7.1,8.8,7.4,8.3,9.1,8.0
Emanuel Busnja,2000567525,7.5,5.9,8.6,7.8,7.5,6.1,6.7
Mikel Oyarzun,2000439254,7.4,8.7,9.1,8.0,7.4,9.7,8.7
