Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Rubén Blanco,67156610.0,995.0,1125.0,1285.5,1098.0,1241.0,1120.0,1342.0,1237.0,1285.5,1405.0
Luís Rodrigues,2000436535.0,876.0,1083.0,1304.0,1036.0,1224.0,1017.0,1246.0,1133.0,1175.0,1309.0
Ricardo Graça,83107071.0,1056.5,1283.0,1471.5,1254.5,1423.0,1297.5,1483.5,1443.5,1458.0,1702.5
Andrejs Ciganiks,37075484.0,932.0,1184.0,1309.5,1169.5,1315.0,1218.5,1378.0,1364.5,1349.5,1537.0
Billy Gilmour,61078265.0,1177.0,1363.5,1542.0,1341.5,1545.5,1418.5,1622.0,1583.5,1599.0,1851.5
Antonio Blanco,67256515.0,1237.0,1499.5,1789.0,1459.0,1650.5,1478.0,1699.5,1659.0,1655.0,1948.0
Gorka Alarcón,2000194477.0,983.0,1173.0,1319.5,1169.0,1276.5,1244.0,1347.5,1392.0,1341.0,1568.0
Rodrigo Gogna,2000273938.0,1127.0,1447.5,1637.0,1442.5,1697.5,1530.0,1836.0,1688.5,1755.0,1974.0
Octavian Popescu,57175903.0,1070.5,1380.0,1556.5,1388.0,1585.0,1462.0,1691.5,1617.5,1635.5,1819.5
Yago Freitas,2000570843.0,805.0,1010.0,1086.0,1041.0,1126.0,1118.0,1240.0,1279.0,1260.0,1483.0
Christian Kouamé,43201838.0,1142.5,1340.5,1466.5,1335.0,1507.0,1425.5,1625.5,1594.0,1629.0,1902.0
Sergio Rico,67171745.0,941.5,943.5,1163.0,863.0,1063.0,880.0,1088.0,931.0,1001.0,1150.5
Timo Zaal,2000022712.0,1180.5,1396.0,1672.0,1337.0,1506.0,1313.5,1502.0,1485.0,1462.5,1676.5
Luis Garai,2000681737.0,751.0,960.0,1065.0,966.0,1056.0,1029.0,1124.0,1184.0,1128.0,1305.0
Dawid Kownacki,96059679.0,1063.0,1236.5,1410.5,1194.5,1350.0,1242.0,1398.0,1378.0,1365.0,1612.0
Ali Tweed,2000432931.0,1182.5,1357.0,1602.5,1288.0,1484.0,1295.5,1525.5,1454.0,1452.5,1653.5
Reiss Nelson,28107919.0,995.5,1243.0,1347.0,1254.0,1428.0,1344.0,1535.0,1508.0,1509.0,1684.0
Aarón Martín,67196209.0,1154.0,1434.5,1594.5,1438.0,1603.0,1508.0,1685.0,1708.0,1653.0,1890.5
Manu Morlanes,67228802.0,1202.5,1489.5,1756.0,1454.5,1679.0,1471.5,1723.0,1660.5,1683.0,1902.0
Unai Gómez,2000065899.0,1080.5,1341.5,1550.0,1320.5,1524.0,1362.0,1617.5,1528.0,1571.0,1747.0
Junior Esparragoza,2000179937.0,1179.5,1354.5,1587.5,1295.5,1484.5,1270.5,1490.0,1434.5,1439.5,1628.5
Germán,2000194475.0,1191.5,1375.5,1597.5,1333.0,1492.0,1347.5,1545.0,1504.5,1513.5,1756.0
Emil Bohinen,53126104.0,1036.0,1301.0,1438.0,1308.5,1512.5,1410.5,1622.0,1548.5,1577.0,1746.5
Pedro Esperancinha,2000437963.0,1250.0,1400.0,1611.5,1342.5,1518.0,1331.5,1532.5,1509.5,1500.0,1664.0
Nino,2000511282.0,966.5,1237.5,1356.0,1247.0,1428.0,1358.5,1544.5,1501.0,1503.5,1714.0
