Player,UID,Acc,Agi,Pac,Wor,Jum,Fir,Dri,Cmp,Sta,Pos,Cnt,Fre,Cor,Fin,OtB,Pas,Tec,Ant,Dec,Lon,Fla,Tck,Hea,Agg,Bra,Bal,Str,Det,Mar,Vis,Tea,Cro,Ldr,Nat,L Th,Pen,Aer,Cmd,Com,Ecc,Han,Kic,Pun,1v1,Ref,TRO,Thr,Age
Rubén Blanco,67156610.0,17.5,13.0,13.0,16.5,20.5,18.0,2.0,22.5,15.0,16.0,13.0,10.0,2.5,2.0,4.0,22.0,12.0,15.0,18.0,2.0,8.5,2.0,2.0,14.5,13.0,17.5,13.5,16.5,2.5,16.0,19.0,5.5,16.0,19.0,2.5,8.5,15.0,12.0,15.0,7.0,14.0,13.0,14.0,17.0,16.0,14.0,14.0,33.0
Luís Rodrigues,2000436535.0,10.0,11.0,12.0,13.0,14.0,12.0,9.0,10.0,17.0,17.0,18.0,6.0,8.0,5.0,9.0,16.0,16.0,13.0,14.0,11.0,7.0,13.0,9.0,10.0,16.0,12.0,15.0,9.0,15.0,13.0,14.0,5.0,5.0,13.0,5.0,9.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,22.0
Ricardo Graça,83107071.0,14.0,22.0,13.0,13.0,13.0,12.0,14.5,18.0,19.5,14.0,19.0,11.5,8.5,14.5,17.5,14.0,18.0,14.0,13.0,15.0,11.5,13.0,12.0,13.0,19.0,19.0,13.0,12.0,14.0,16.0,17.5,13.0,17.5,23.5,7.5,14.5,5.5,3.0,2.5,2.0,2.5,2.0,2.0,2.5,2.5,2.5,2.5,31.0
Andrejs Ciganiks,37075484.0,12.0,20.5,12.0,13.0,9.0,13.0,16.0,16.0,21.0,12.0,19.0,7.0,16.0,11.5,14.5,13.0,11.0,11.0,12.0,15.0,16.0,13.0,10.0,11.0,13.0,20.5,11.0,11.0,11.0,18.0,15.0,17.5,13.0,17.5,16.0,11.5,2.5,2.5,1.0,4.0,2.0,4.0,3.0,5.5,4.0,3.0,2.5,31.0
Billy Gilmour,61078265.0,18.5,16.5,17.0,21.0,5.0,15.0,13.5,27.0,16.5,18.0,17.0,21.0,14.0,16.5,15.0,15.0,22.5,22.5,19.5,15.0,11.0,11.0,15.5,23.0,24.0,12.0,9.0,22.5,8.0,16.0,17.0,14.0,20.0,21.5,13.5,18.0,5.0,3.0,2.5,2.0,3.0,2.5,3.0,3.0,3.0,3.0,6.0,27.0
Antonio Blanco,67256515.0,19.5,22.5,18.5,18.0,11.0,13.0,13.5,21.0,21.0,21.5,20.0,12.5,12.5,9.5,22.5,14.0,16.5,22.5,18.0,15.0,11.0,13.0,20.0,13.5,15.5,17.0,13.0,27.0,20.0,14.0,21.5,13.5,22.5,19.5,18.0,13.5,5.0,2.5,3.0,3.0,3.0,4.5,2.5,3.0,2.5,5.0,3.0,28.0
Gorka Alarcón,2000194477.0,15.0,23.5,15.0,12.0,15.0,13.0,14.0,19.5,15.0,10.0,11.5,14.5,11.5,8.0,14.0,13.0,15.0,13.0,15.0,10.0,14.0,8.5,7.0,23.5,11.5,25.0,11.0,16.5,7.0,10.0,16.0,19.0,22.0,11.5,13.5,8.5,4.0,2.5,3.0,2.5,4.0,4.0,3.0,2.5,2.0,2.0,4.5,23.0
Rodrigo Gogna,2000273938.0,11.0,22.5,13.0,25.5,14.0,17.0,21.0,20.0,22.5,12.5,15.5,20.0,15.5,12.5,27.0,19.5,27.0,24.0,22.5,21.0,23.0,10.5,10.0,7.5,12.5,15.5,14.0,23.0,15.5,22.5,27.0,12.0,6.0,18.0,8.0,16.5,3.0,4.5,2.5,3.0,1.0,3.0,6.0,3.5,3.0,4.5,2.5,23.0
Octavian Popescu,57175903.0,14.0,21.5,14.0,15.5,11.0,14.0,20.0,23.0,21.5,18.0,15.0,12.0,16.5,10.5,18.5,25.5,20.0,20.0,20.0,14.0,18.0,10.5,8.0,15.0,9.0,16.5,11.0,18.5,13.5,22.5,18.0,21.0,10.5,19.5,9.5,12.5,2.5,2.5,3.0,2.5,4.5,2.5,3.0,2.0,2.5,3.0,3.0,25.0
Yago Freitas,2000570843.0,16.0,17.0,16.0,15.0,6.0,11.0,17.0,17.0,16.0,6.0,8.0,6.0,7.0,14.0,15.0,12.0,16.0,15.0,14.0,7.0,15.0,2.0,8.0,11.0,7.0,15.0,11.0,12.0,5.0,13.0,11.0,10.0,8.0,14.0,4.0,8.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,20.0
