Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Rubén Blanco,67156610.0,16.55,13.95,13.75,15.55,16.75,14.6,13.75,15.45
Luís Rodrigues,2000436535.0,14.7,13.3,14.6,14.1,14.5,11.9,12.5,14.7
Ricardo Graça,83107071.0,16.15,15.05,15.5,15.25,15.1,15.75,16.0,14.9
Andrejs Ciganiks,37075484.0,13.8,14.1,13.9,13.55,13.9,14.65,14.95,14.2
Billy Gilmour,61078265.0,19.7,17.45,17.9,18.2,18.3,18.3,16.75,17.25
Antonio Blanco,67256515.0,18.55,17.55,17.95,18.85,18.0,17.75,17.35,18.25
Gorka Alarcón,2000194477.0,13.8,13.35,13.2,13.6,13.2,15.5,15.55,12.7
Rodrigo Gogna,2000273938.0,21.75,19.95,17.15,22.45,22.0,21.4,21.85,19.65
Octavian Popescu,57175903.0,20.2,19.45,15.35,19.1,19.5,20.6,19.85,17.8
Yago Freitas,2000570843.0,12.8,12.0,10.2,13.1,12.9,14.0,14.5,11.0
Christian Kouamé,43201838.0,18.1,16.9,15.65,17.25,16.9,18.75,19.5,15.8
Sergio Rico,67171745.0,15.55,12.75,13.7,13.85,14.1,12.65,12.6,14.5
Timo Zaal,2000022712.0,14.2,14.15,15.0,14.95,14.4,13.75,14.45,16.85
Luis Garai,2000681737.0,9.4,10.2,10.0,10.8,10.3,11.9,12.8,10.0
Dawid Kownacki,96059679.0,15.3,14.05,16.3,14.95,14.65,15.2,14.85,15.25
Ali Tweed,2000432931.0,14.3,13.4,18.35,15.4,15.9,13.65,14.05,17.05
Reiss Nelson,28107919.0,16.35,16.05,14.4,16.7,16.45,17.1,18.1,15.2
Aarón Martín,67196209.0,18.45,18.55,17.4,18.35,17.95,19.7,18.55,18.25
Manu Morlanes,67228802.0,17.1,17.05,18.25,18.9,18.35,16.05,17.3,18.0
Unai Gómez,2000065899.0,17.3,16.5,14.0,18.35,18.25,16.85,16.75,16.7
Junior Esparragoza,2000179937.0,14.95,14.65,18.1,15.65,15.65,14.05,15.4,17.15
Germán,2000194475.0,15.8,14.3,18.7,15.4,15.75,14.85,15.7,15.6
Emil Bohinen,53126104.0,18.7,17.8,14.35,17.6,17.85,20.0,19.4,16.15
Pedro Esperancinha,2000437963.0,16.2,14.0,17.85,16.45,17.0,14.3,15.8,17.3
Nino,2000511282.0,17.55,16.75,14.35,17.1,17.0,18.75,18.2,16.0
