Player,UID,FB,WB,IWB,CWB,NNFB
Koke Vegas,67196252.0,9.2,6.1,9.35,6.88,9.95
Jose Alcaide,2000437774.0,14.35,12.55,13.75,11.92,14.15
Eugene Kulakov,2000434056.0,12.8,11.3,12.8,11.38,12.6
Jordan Torunarigha,91137260.0,12.7,12.5,12.3,12.46,13.0
Imanol,67276239.0,12.8,11.8,12.4,11.92,12.75
José,2000570829.0,11.2,10.55,12.4,11.88,10.4
Leo Díaz,2000630127.0,12.0,12.0,11.3,12.85,8.9
Beñat Sanz,2000439251.0,10.6,9.6,11.9,10.92,9.7
0,2000189953.0,10.8,11.65,10.4,12.0,9.35
Carlos Hernandez,2000511264.0,12.55,12.85,11.05,12.96,10.85
Anders Nygaard,2000569028.0,10.8,10.6,11.6,11.54,10.1
Clement Nwabueze,2000710897.0,13.5,12.6,12.7,12.38,12.6
Fajar Bayhaqi,2000439532.0,12.9,10.9,13.1,11.31,13.1
Gil Dias,55082920.0,10.15,11.4,10.5,11.88,9.8
Marian Vasilache,2000328740.0,10.2,9.75,9.6,10.04,10.3
Paul Akouokou,33066648.0,13.9,11.9,13.4,11.85,13.95
Isaiah Álvarez,2000630129.0,11.1,12.25,10.6,12.58,10.75
Nikola Katic,24047814.0,12.0,10.45,11.25,10.27,13.1
Enzo Loiodice,49045906.0,12.6,11.9,13.75,12.62,11.65
Javi Galán,67243881.0,14.15,13.65,13.95,13.54,12.65
0,85144993.0,12.2,11.85,12.05,12.12,12.05
Alfredo Iglesias,2000194460.0,9.6,6.55,9.1,6.54,8.5
Thomas Michel,2000434743.0,10.95,11.45,10.35,11.27,9.45
Adailson,2000664048.0,9.4,10.6,9.3,11.35,7.7
