Player,UID,AMC,AP,T,SS,AM,EG
Koke Vegas,67196252.0,13.6,12.1,13.6,11.25,12.45,10.45
Jose Alcaide,2000437774.0,18.75,17.4,18.75,16.9,17.8,16.5
Eugene Kulakov,2000434056.0,11.5,10.6,11.5,10.7,11.3,10.4
Jordan Torunarigha,91137260.0,11.4,11.7,11.4,11.2,11.5,12.1
Imanol,67276239.0,15.9,15.0,15.9,15.65,15.55,14.15
José,2000570829.0,17.1,18.0,17.1,16.3,17.5,17.3
Leo Díaz,2000630127.0,13.4,13.6,13.4,13.3,13.4,14.2
Beñat Sanz,2000439251.0,14.1,14.4,14.1,13.3,14.1,14.4
0,2000189953.0,16.85,17.75,16.85,18.35,17.8,18.9
Carlos Hernandez,2000511264.0,13.9,14.1,13.9,13.9,13.9,13.6
Anders Nygaard,2000569028.0,14.2,14.2,14.2,13.5,13.8,14.0
Clement Nwabueze,2000710897.0,13.1,12.3,13.1,11.6,12.2,11.7
Fajar Bayhaqi,2000439532.0,13.5,13.0,13.5,12.65,13.2,12.0
Gil Dias,55082920.0,16.25,16.7,16.25,16.8,17.4,17.6
Marian Vasilache,2000328740.0,12.95,12.7,12.95,13.55,13.15,12.65
Paul Akouokou,33066648.0,14.9,13.75,14.9,13.9,14.2,13.15
Isaiah Álvarez,2000630129.0,17.7,18.3,17.7,18.6,18.1,18.1
Nikola Katic,24047814.0,14.5,13.75,14.5,14.65,14.45,14.1
Enzo Loiodice,49045906.0,16.15,15.2,16.15,15.95,16.7,15.4
Javi Galán,67243881.0,20.1,19.95,20.1,19.15,20.05,19.65
0,85144993.0,16.1,15.9,16.1,15.7,16.2,15.6
Alfredo Iglesias,2000194460.0,14.2,13.15,14.2,10.15,12.6,10.85
Thomas Michel,2000434743.0,15.75,15.75,15.75,15.85,16.75,16.05
Adailson,2000664048.0,15.2,16.4,15.2,16.15,16.75,17.35
