Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Juan Antonio,2000710692.0,9.45,7.38,6.88,7.18,6.76,6.76,6.81,6.75,6.78,5.93
Julio,2000629924.0,12.02,11.12,10.81,10.97,10.45,10.3,10.19,10.64,10.32,9.54
Iván Romero,2000629923.0,12.14,11.27,11.51,10.97,11.14,10.35,10.75,10.41,10.56,10.18
Juan Manuel Mejías,2000442677.0,12.64,11.7,11.63,11.51,11.79,10.98,11.35,10.81,10.95,10.36
Ignacio Caballero,2000511080.0,12.05,10.7,10.62,10.31,10.43,9.58,10.08,9.59,9.68,8.74
Santiago Martínez,2000570461.0,9.93,9.92,8.69,10.43,9.72,10.95,10.3,11.2,10.87,10.54
Biel Cárdenas,2000629927.0,7.83,8.77,7.51,9.24,8.69,9.15,9.08,9.45,9.29,8.35
Juma Haule,2000570456.0,11.18,11.27,10.47,11.46,10.91,11.51,11.29,11.88,11.62,11.03
Chus Beltrán,2000629925.0,10.03,10.43,9.11,11.09,10.2,11.62,11.1,12.02,11.7,11.71
Adrián Forcén,2000439535.0,11.29,10.94,9.81,11.52,10.63,12.0,11.33,12.39,12.12,12.07
Themba Teneso,2000439093.0,10.38,10.72,9.82,11.32,10.44,11.67,11.24,11.92,11.77,12.0
Luis Pomareta,2000629921.0,7.36,5.15,5.61,4.78,4.79,4.43,4.65,4.43,4.52,4.3
Andrés Hernández,2000439538.0,12.78,11.8,11.51,11.56,11.56,10.86,11.15,11.15,11.14,10.04
Ismael Bermudo,2000439534.0,12.08,11.53,11.54,11.42,11.51,11.17,11.3,11.07,11.15,10.65
Salvador Román,2000663176.0,10.8,10.77,9.19,11.44,10.6,11.96,11.45,12.22,12.04,11.62
Hirofumi Saitô,2000192902.0,10.29,10.18,8.61,10.99,9.79,11.57,10.58,11.94,11.49,11.59
Xavi Jiménez,2000194000.0,10.67,9.83,10.45,9.26,9.55,8.49,8.71,8.54,8.48,8.35
Manu Miguens,2000663171.0,7.05,8.04,6.95,8.63,7.74,8.57,8.07,8.91,8.38,7.89
Ramón Alfaro,2000511082.0,11.38,10.11,10.11,9.97,9.71,9.47,9.56,9.57,9.53,8.96
Félix Artigas,2000511083.0,9.14,9.4,8.66,9.78,9.36,10.07,9.85,10.24,10.05,9.5
Cayetano Guzmán,2000685791.0,10.12,9.63,9.31,9.72,9.8,10.15,10.2,9.95,10.25,10.95
Adrián Capapé,2000439539.0,12.74,12.72,12.43,12.85,12.8,12.8,13.12,12.81,13.06,12.56
Serafín Cabezas,2000629922.0,8.28,8.27,7.41,8.56,8.09,9.02,9.29,9.13,9.46,9.01
Adrián Carrero,2000629926.0,10.87,9.8,9.37,9.54,9.64,8.98,9.51,8.98,9.12,8.03
Jesús María,2000663172.0,10.6,9.78,10.29,9.33,9.45,8.68,8.74,8.81,8.54,8.43
Bruno Garba,2000663175.0,9.65,9.16,9.49,8.86,8.96,8.35,8.51,8.55,8.29,8.18
