Player,UID,Position
Juan Antonio,2000710692,GK
Julio,2000629924,D/WB/M (R)
Iván Romero,2000629923,"D (C), DM, M (C)"
Juan Manuel Mejías,2000442677,"D (C), DM, M (C)"
Ignacio Caballero,2000511080,"D (LC), WB (L), DM"
Santiago Martínez,2000570461,"WB/M/AM (R), ST (C)"
Biel Cárdenas,2000629927,"DM, M (C)"
Juma Haule,2000570456,"M (C), AM (RC), ST (C)"
Chus Beltrán,2000629925,"M (L), AM (R), ST (C)"
Adrián Forcén,2000439535,"AM (RC), ST (C)"
Themba Teneso,2000439093,ST (C)
Luis Pomareta,2000629921,GK
Andrés Hernández,2000439538,"D (C), DM, M (C)"
Ismael Bermudo,2000439534,"D (C), DM, M (C)"
Salvador Román,2000663176,"AM (RL), ST (C)"
Hirofumi Saitô,2000192902,"M/AM (R), ST (C)"
Xavi Jiménez,2000194000,"D (LC), DM"
Manu Miguens,2000663171,WB (L)
Ramón Alfaro,2000511082,"D (RC), WB (R), M (C), AM (R)"
Félix Artigas,2000511083,"M (LC), AM (L)"
Cayetano Guzmán,2000685791,ST (C)
Adrián Capapé,2000439539,M/AM (C)
Serafín Cabezas,2000629922,M/AM (C)
Adrián Carrero,2000629926,D/WB (L)
Jesús María,2000663172,D (C)
Bruno Garba,2000663175,D/WB (L)
