Player,UID,CD,BPD,NNCB,Lib
Alfredo Trelles,2000200467.0,9.85,8.25,10.05,8.0
Timo Baumgartl,92065892.0,15.6,15.0,14.55,14.35
Cameron Wells,2000431769.0,12.6,11.85,12.0,14.4
Tarsi Bakero,2000193403.0,16.05,14.85,15.05,16.15
Maximilian Mittelstädt,91143714.0,13.7,13.6,13.3,15.95
Luka Jovanović,2000604683.0,8.0,8.8,8.1,9.6
Henry Onyekuru,18093594.0,10.1,10.4,10.7,13.75
Toni Dorado,2000197158.0,13.25,13.4,13.4,15.6
Terry Ashton,2000505936.0,8.9,9.3,8.8,10.7
Mateusz Bogusz,96129140.0,14.5,13.35,14.65,15.75
Gerardo Gallardo,2000440602.0,9.65,10.3,9.85,12.65
Tiago Geralnik,14224252.0,10.0,11.55,9.55,14.95
Juan Soriano,67193103.0,14.75,13.15,13.9,12.2
Luciano Ferreyra,14227040.0,14.45,14.1,14.0,16.65
Toni Martínez,67216151.0,14.8,14.0,14.75,15.6
Checa,2000438637.0,10.75,12.15,10.65,13.35
Mamadou Loum,83100794.0,18.05,16.7,17.55,15.8
Adrián Corral,2000057468.0,15.65,14.45,15.1,14.6
Cacá,19350725.0,17.05,16.5,16.85,16.35
Yesinguer Vinasco,2000415655.0,10.9,11.45,10.3,14.9
Juanmi Ávila,2000441358.0,12.5,11.5,10.75,13.25
Ion Etxabe,2000514435.0,9.2,9.15,9.8,12.0
Nico Mickelson,53138009.0,12.25,11.1,11.0,13.85
Jose Antonio Molina,2000571459.0,11.2,11.75,11.2,15.15
Juan Luis,2000664823.0,17.45,15.0,16.85,13.3
