Player,UID,WM,W,DW,IW,IF,WG
Alfredo Trelles,2000200467.0,8.35,8.95,9.95,9.1,7.6,9.0
Timo Baumgartl,92065892.0,14.9,13.5,16.05,15.2,15.1,13.42
Cameron Wells,2000431769.0,15.25,16.25,15.4,15.35,15.05,14.71
Tarsi Bakero,2000193403.0,15.95,15.65,17.1,16.9,15.55,15.12
Maximilian Mittelstädt,91143714.0,17.75,18.15,16.45,18.1,16.6,16.62
Luka Jovanović,2000604683.0,10.8,12.2,9.5,11.3,10.7,11.42
Henry Onyekuru,18093594.0,14.25,16.2,11.85,16.9,17.15,14.67
Toni Dorado,2000197158.0,16.35,16.3,15.8,18.6,17.5,15.17
Terry Ashton,2000505936.0,13.6,14.4,10.9,13.6,13.5,13.25
Mateusz Bogusz,96129140.0,17.15,17.9,16.8,17.85,16.75,16.17
Gerardo Gallardo,2000440602.0,14.05,16.0,12.95,15.55,14.8,14.42
Tiago Geralnik,14224252.0,16.85,16.35,13.0,18.55,18.75,15.46
Juan Soriano,67193103.0,11.5,12.65,12.9,13.3,12.05,13.04
Luciano Ferreyra,14227040.0,17.25,18.0,17.35,17.45,16.5,16.17
Toni Martínez,67216151.0,15.3,15.7,14.65,16.3,16.15,15.25
Checa,2000438637.0,12.8,11.6,11.85,15.2,14.2,11.33
Mamadou Loum,83100794.0,14.7,14.65,16.5,15.35,14.55,15.29
Adrián Corral,2000057468.0,14.55,14.1,15.55,15.25,13.9,14.17
Cacá,19350725.0,16.25,15.35,16.5,17.0,16.4,14.96
Yesinguer Vinasco,2000415655.0,16.65,18.2,13.5,18.65,17.7,17.17
Juanmi Ávila,2000441358.0,17.3,17.65,14.5,17.8,18.4,16.71
Ion Etxabe,2000514435.0,13.65,15.3,10.6,16.1,16.8,13.83
Nico Mickelson,53138009.0,15.95,17.55,14.85,16.8,16.0,16.04
Jose Antonio Molina,2000571459.0,16.9,19.1,13.3,20.35,19.55,18.0
Juan Luis,2000664823.0,13.9,12.95,15.3,13.3,13.4,13.42
