Player,UID,DM,AM,BWM,HB,SV,RGA
Alfredo Trelles,2000200467.0,11.0,11.4,11.4,12.4,9.1,9.3
Timo Baumgartl,92065892.0,17.6,17.3,17.3,16.5,16.9,14.5
Cameron Wells,2000431769.0,15.25,16.15,16.15,15.5,15.1,14.25
Tarsi Bakero,2000193403.0,18.4,19.0,19.0,17.7,16.55,16.05
Maximilian Mittelstädt,91143714.0,15.65,16.2,16.2,16.6,16.25,17.1
Luka Jovanović,2000604683.0,8.6,8.5,8.5,8.8,9.4,10.7
Henry Onyekuru,18093594.0,11.25,10.85,10.85,13.15,13.1,16.85
Toni Dorado,2000197158.0,16.65,16.15,16.15,16.0,16.75,17.6
Terry Ashton,2000505936.0,10.4,10.9,10.9,11.4,10.8,12.0
Mateusz Bogusz,96129140.0,16.95,16.9,16.9,17.95,17.1,17.15
Gerardo Gallardo,2000440602.0,12.6,12.3,12.3,12.35,13.55,14.3
Tiago Geralnik,14224252.0,12.85,11.65,11.65,10.95,13.6,17.2
Juan Soriano,67193103.0,15.2,15.45,15.45,15.8,13.4,14.65
Luciano Ferreyra,14227040.0,16.85,17.0,17.0,16.2,17.0,16.95
Toni Martínez,67216151.0,14.55,15.05,15.05,15.75,14.8,16.6
Checa,2000438637.0,13.05,11.95,11.95,11.35,13.4,14.55
Mamadou Loum,83100794.0,17.75,18.4,18.4,17.75,16.9,15.25
Adrián Corral,2000057468.0,17.3,16.85,16.85,16.25,15.75,14.65
Cacá,19350725.0,17.55,18.05,18.05,18.55,17.2,16.45
Yesinguer Vinasco,2000415655.0,13.45,13.2,13.2,12.85,13.5,18.0
Juanmi Ávila,2000441358.0,15.2,15.9,15.9,14.6,14.0,15.55
Ion Etxabe,2000514435.0,10.75,10.2,10.2,12.45,12.4,15.3
Nico Mickelson,53138009.0,14.5,15.1,15.1,14.4,13.7,15.4
Jose Antonio Molina,2000571459.0,13.95,12.9,12.9,13.4,14.15,18.75
Juan Luis,2000664823.0,16.9,17.0,17.0,17.85,15.1,13.15
